Confirm_interval_down,Confirm_interval_up,Dailynew_confirm,Dailynew_remove,Date,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
712777.0,716096.0,15986.396311497083,5954.6461608242535,2020/04/09,714435.4771117136,569492.2203832117,144943.25672850182,,,,,
727380.0,730729.0,14617.457381275366,5880.628436681116,2020/04/10,729052.934492989,578229.0493278061,150823.88516518293,,,,,
740686.0,744067.0,13322.940761147998,5802.366361035121,2020/04/11,742375.875254137,585749.623727919,156626.25152621805,,,,,
752792.0,756197.0,12116.261133799795,5720.57258520514,2020/04/12,754492.1363879368,592145.3122765135,162346.8241114232,,,,,
763781.0,767210.0,11003.715200219885,5635.915208154911,2020/04/13,765495.8515881567,597513.1122685785,167982.7393195781,,,,,
773763.0,777211.0,9991.546757165575,5549.021750820772,2020/04/14,775487.3983453222,601955.6372749234,173531.76107039888,,,,,
782831.0,786303.0,9080.633935949067,5460.492315601412,2020/04/15,784568.0322812713,605575.778895271,178992.2533860003,,,,,
791087.0,794581.0,8264.2838373743,5370.867090812826,2020/04/16,792832.3161186456,608469.1956418324,184363.1204768131,,,,,
798616.0,802129.0,7535.889827765408,5280.618290283892,2020/04/17,800368.205946411,610724.467179314,189643.738767097,,,,,
805498.0,809019.0,6887.590130825527,5190.156020550523,2020/04/18,807255.7960772365,612421.901289589,194833.89478764753,,,,,
811800.0,815337.0,6311.245664081071,5099.833576820849,2020/04/19,813567.0417413176,613633.3133768493,199933.72836446838,,,,,
817594.0,821142.0,5798.8822052348405,5009.952451510268,2020/04/20,819365.9239465524,614422.2431305738,204943.68081597865,,,,,
822928.0,826488.0,5342.8735296136,4920.767257139814,2020/04/21,824708.797476166,614844.3494030476,209864.44807311846,,,,,
827860.0,831435.0,4936.097172381822,4832.490464697155,2020/04/22,829644.8946485479,614947.9561107323,214696.93853781561,,,,,
832430.0,836006.0,4572.044396188692,4745.297144225595,2020/04/23,834216.9390447366,614774.7033626954,219442.2356820412,,,,,
836666.0,840255.0,4244.885069502168,4659.329476519139,2020/04/24,838461.8241142387,614360.2589556784,224101.56515856035,,,,,
840613.0,844209.0,3949.48826944537,4574.701034872909,2020/04/25,842411.3123836841,613735.0461902509,228676.26619343326,,,,,
844289.0,847898.0,3681.409459636663,4491.500756589492,2020/04/26,846092.7218433208,612924.954893298,233167.76695002275,,,,,
847724.0,851335.0,3436.852647864842,4409.796552218992,2020/04/27,849529.5744911856,611952.0109889439,237577.56350224174,,,,,
850934.0,854552.0,3212.616038942011,4329.638543256238,2020/04/28,852742.1905301276,610834.9884846297,241907.20204549798,,,,,
853935.0,857566.0,3006.0287228673697,4251.061909375974,2020/04/29,855748.219252995,609589.9552981211,246158.26395487395,,,,,
856749.0,860382.0,2814.8835883076536,4174.089379384997,2020/04/30,858563.1028413026,608230.7495070437,250332.35333425895,,,,,
859381.0,863018.0,2637.3707243429963,4098.733367988985,2020/05/01,861200.4735656456,606769.3868633977,254431.08670224794,,,,,
861852.0,865500.0,2472.013702237862,4024.997806257219,2020/05/02,863672.4872678835,605216.4027593783,258456.08450850516,,,,,
864169.0,867817.0,2317.6110669181217,3952.8796831701475,2020/05/03,865990.0983348016,603581.1341431263,262408.9641916753,,,,,
866337.0,869994.0,2173.183347405051,3882.370343000628,2020/05/04,868163.2816822067,601871.9471475307,266291.33453467593,,,,,
868373.0,872030.0,2037.927146775066,3813.4565615458996,2020/05/05,870201.2088289817,600096.4177327598,270104.79109622183,,,,,
870285.0,873940.0,1911.1758717526682,3746.1214379897574,2020/05/06,872112.3847007344,598261.4721665229,273850.9125342116,,,,,
872073.0,875739.0,1792.3671123057138,3680.345128810208,2020/05/07,873904.7518130401,596373.4941500183,277531.2576630218,,,,,
873752.0,877421.0,1681.0158211661037,3616.1054474150296,2020/05/08,875585.7676342062,594438.4045237694,281147.3631104368,,,,,
875326.0,878996.0,1576.6933574411087,3553.378355168621,2020/05/09,877162.4609916473,592461.7195260419,284700.74146560545,,,,,
876803.0,880476.0,1479.011642492609,3492.1383578455425,2020/05/10,878641.4726341399,590448.592810689,288192.879823451,,,,,
878193.0,881869.0,1387.6112720203819,3432.3588349413476,2020/05/11,880029.0839061603,588403.845247768,291625.23865839234,,,,,
879495.0,883172.0,1302.153103349614,3374.012304470467,2020/05/12,881331.2370095099,586331.9860466472,294999.2509628628,,,,,
880715.0,884391.0,1222.3126329873921,3317.070638279489,2020/05/13,882553.5496424973,584237.228041355,298316.3216011423,,,,,
881858.0,885542.0,1147.7765978389652,3261.5052445770707,2020/05/14,883701.3262403363,582123.4993946169,301577.82684571936,,,,,
882936.0,886624.0,1078.24108185363,3207.2872155911173,2020/05/15,884779.5673221899,579994.4532608795,304785.1140613105,,,,,
883951.0,887639.0,1013.4107118793763,3154.387453299132,2020/05/16,885792.9780340693,577853.4765194596,307939.5015146096,,,,,
884901.0,888592.025,952.998717420036,3102.776771866076,2020/05/17,886745.9767514893,575703.6984650136,311042.2782864757,,,,,
885792.0,889486.0,896.7273019070271,3052.4259979683557,2020/05/18,887642.7040533964,573547.9997689524,314094.70428444404,,,,,
886637.0,890333.0,844.3283921754919,3003.3060391822364,2020/05/19,888487.0324455719,571389.0221219456,317098.0103236263,,,,,
887433.0,891134.0,795.5442598755471,2955.3879328448675,2020/05/20,889282.5767054474,569229.1784489763,320053.39825647115,,,,,
888182.0,891886.0,750.1282878223574,2908.6429468222777,2020/05/21,890032.7049932698,567070.6637899764,322962.0412032934,,,,,
888890.0,892592.0,707.8454857039033,2863.0425958523992,2020/05/22,890740.5504789737,564915.4666798278,325825.0837991458,,,,,
889561.0,893256.0,668.472944109817,2818.558702632843,2020/05/23,891409.0234230835,562765.3809213048,328643.64250177867,,,,,
890189.0,893889.0,631.8000837870641,2775.1634257165133,2020/05/24,892040.8235068705,560622.0175793753,331418.8059274952,,,,,
890788.0,894490.0,597.628705113777,2732.8293014064548,2020/05/25,892638.4522119843,558486.8169830827,334151.63522890164,,,,,
891353.0,895055.0,565.7729729496641,2691.5292684657034,2020/05/26,893204.225184934,556361.0606875666,336843.16449736734,,,,,
891886.0,895597.0,536.0591986040818,2651.2366982685053,2020/05/27,893740.2843835381,554245.8831879022,339494.40119563584,,,,,
892397.0,896102.0,508.3255085890414,2611.9254101570696,2020/05/28,894248.6098921271,552142.2832863342,342106.3266057929,,,,,
892878.0,896583.0,482.4214806596283,2573.569695332495,2020/05/29,894731.0313727867,550051.1350716613,344679.8963011254,,,,,
893339.0,897043.0,458.20763465063646,2536.144337279431,2020/05/30,895189.2390074374,547973.1983690325,347216.04063840484,,,,,
893769.0,897484.0,435.5549121000804,2499.6246085142484,2020/05/31,895624.7939195374,545909.1286726184,349715.6652469191,,,,,
894187.0,897891.0,414.3441419689916,2463.986292655114,2020/06/01,896039.1380615064,543859.4865219323,352179.6515395742,,,,,
894578.0,898292.0,394.46541441313457,2429.2056864408078,2020/06/02,896433.6034759196,541824.7462499046,354608.857226015,,,,,
894954.0,898660.0,375.81753184937406,2395.2596111078165,2020/06/03,896809.421007769,539805.3041706461,357004.1168371228,,,,,
895313.0,899025.0,358.30741738318466,2362.1254063372035,2020/06/04,897167.7284251521,537801.4861816921,359366.24224346003,,,,,
895653.0,899369.0,341.8495415424695,2329.780944926606,2020/06/05,897509.5779666946,535813.5547783079,361696.02318838664,,,,,
895985.0,899692.0,326.3653622525744,2298.204619904689,2020/06/06,897835.9433289472,533841.7155206559,363994.2278082913,,,,,
896293.0,900007.0,311.7827994391555,2267.3753523985506,2020/06/07,898147.7261283863,531886.1229676965,366261.6031606899,,,,,
896589.0,900305.0,298.03573767421767,2237.272583083133,2020/06/08,898445.7618660606,529946.8861222875,368498.875743773,,,,,
896871.0,900592.0,285.063536406029,2207.876258277567,2020/06/09,898730.8254024666,528024.073400416,370706.7520020506,,,,,
897146.0,900861.0,272.8105829351116,2179.1668536090874,2020/06/10,899003.6359854017,526117.717129742,372885.91885565966,,,,,
897406.0,901123.0,261.2258881435264,2151.1253455709084,2020/06/11,899264.8618735452,524227.81767231465,375037.0442012306,,,,,
897655.0,901372.0,250.26268585282378,2123.733210916922,2020/06/12,899515.124559398,522354.34714725055,377160.7774121475,,,,,
897898.0,901614.0,239.8780599759193,2096.9724163445644,2020/06/13,899755.002619374,520497.2527908819,379257.74982849206,,,,,
898129.0,901847.0,230.03263682487886,2070.8254188971478,2020/06/14,899985.0352561988,518656.46000880963,381328.5752473892,,,,,
