Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/04/26,29085.060849772046,29629.784139112096,108.38743735616299,4.295231032960146,4555.458159079837,181.7955211360004,24529.60269069221,28751.0,29420.0,29293.0,29967.0,,,,
2020/04/27,29176.005822771538,29632.801043564392,90.94497299949217,3.016904452295421,4736.646301230817,181.18814215097973,24439.359521540722,28842.0,29510.0,29296.0,29970.0,,,,
2020/04/28,29252.23346373993,29634.920811381166,76.22764096839092,2.119767816773674,4917.113268964325,180.46696773350777,24335.120194775605,28918.0,29588.0,29298.0,29973.0,,,,
2020/04/29,29316.068480142792,29636.41126650275,63.8350164028634,1.490455121584091,5096.764686629876,179.6514176655519,24219.303793512918,28980.0,29652.0,29299.0,29974.0,,,,
2020/04/30,29369.48595837708,29637.460278222763,53.417478234288865,1.0490117200133682,5275.522692543396,178.7580059135198,24093.963265833685,29035.0,29706.0,29301.0,29975.0,,,,
2020/05/01,29414.158399876447,29638.199505990233,44.67244149936596,0.7392277674698562,5453.323415897507,177.80072335411114,23960.83498397894,29079.0,29751.0,29302.0,29977.0,,,,
2020/05/02,29451.498251563848,29638.721181241304,37.33985168740037,0.5216752510714286,5630.11480268202,176.79138678451272,23821.38344888183,29116.0,29789.0,29302.0,29976.0,,,,
2020/05/03,29482.69570061908,29639.08991972264,31.197449055231118,0.36873848133473075,5805.8547537332715,175.7399510512514,23676.840946885808,29148.0,29819.0,29302.0,29977.0,,,,
2020/05/04,29508.751825351104,29639.35101097531,26.056124732025637,0.261091252672486,5980.509537883867,174.65478415059533,23528.242287467237,29172.0,29846.0,29301.0,29977.0,,,,
2020/05/05,29530.507382708798,29639.536223486124,21.75555735769376,0.18521251081256196,6154.0524448981705,173.54290701430364,23376.454937810628,29194.0,29868.0,29302.0,29977.0,,,,
2020/05/06,29548.667612063375,29639.66786469089,18.160229354576586,0.1316412047672202,6326.462645619071,172.41020072090032,23222.204966444304,29212.0,29886.025000000023,29303.0,29978.0,,,,
2020/05/07,29563.823475232166,29639.7616184415,15.155863168791257,0.09375375060699298,6497.724229967174,171.2615843481035,23066.09924526499,29227.0,29901.0,29302.0,29978.0,,,,
2020/05/08,29576.469755782036,29639.82852767521,12.646280549870426,0.06690923371206736,6667.825396775211,170.1011668080364,22908.644359006827,29239.0,29914.0,29303.0,29978.0,,,,
2020/05/09,29587.020421501755,29639.87638011312,10.550665719718381,0.04785243791047833,6836.757772690198,168.93237591498746,22750.262648811557,29251.0,29925.0,29303.0,29978.0,,,,
2020/05/10,29595.821622563966,29639.910677272208,8.801201062211476,0.0342971590871457,7004.515840412579,167.75806772238047,22591.305782151387,29258.0,29933.0,29302.0,29977.0,,,,
2020/05/11,29603.16266101198,29639.935312695074,7.341038448012114,0.02463542286568554,7171.096459296174,166.58061888359498,22432.066201715803,29266.0,29941.0,29303.0,29978.0,,,,
2020/05/12,29609.285228798526,29639.95304716581,6.122567786547734,0.017734470737195807,7336.498463793399,165.4020044972258,22272.786765005127,29273.0,29947.0,29303.0,29978.0,,,,
2020/05/13,29614.39117438101,29639.965842125894,5.1059455824834,0.012794960082828766,7500.722327386664,164.22386359326447,22113.668846994347,29278.0,29952.0,29303.0,29978.0,,,,
2020/05/14,29618.649022989273,29639.97509391647,4.257848608263885,0.009251790575945051,7663.76988153063,163.0475541439664,21954.879141458645,29282.0,29957.0,29303.0,29978.0,,,,
2020/05/15,29622.199444304835,29639.981798638564,3.5504213155618345,0.006704722094582394,7825.6440807397385,161.87419920910816,21796.555363565098,29285.0,29959.0,29303.0,29977.0,,,,
2020/05/16,29625.159833040078,29639.9866683636,2.9603887352423044,0.004869725034950534,7986.348806350543,160.70472561080442,21638.811026689535,29288.0,29963.0,29303.0,29978.0,,,,
2020/05/17,29627.62814331203,29639.990213198766,2.468310271953669,0.0035448351663944777,8145.8887026670045,159.53989631646164,21481.739440645026,29290.0,29965.0,29302.0,29978.0,,,,
2020/05/18,29629.686096246187,29639.992799348278,2.0579529341557645,0.002586149512353586,8304.269040202136,158.38033753513173,21325.41705604405,29293.0,29967.0,29304.0,29978.0,,,,
2020/05/19,29631.401861807695,29639.994690275194,1.7157655615083058,0.0018909269165305886,8461.495601577562,157.22656137542617,21169.906260230135,29295.0,29969.0,29304.0,29977.0,,,,
2020/05/20,29632.83229998259,29639.996075932304,1.4304381748952437,0.0013856571094947867,8617.574586362649,156.0789847850865,21015.25771361994,29296.0,29972.0,29304.0,29978.0,,,,
2020/05/21,29634.024833026706,29639.997093569273,1.1925330441154074,0.001017636968754232,8772.512531735174,154.93794537252506,20861.512301291532,29297.0,29971.0,29302.0,29978.0,,,,
2020/05/22,29635.01900898348,29639.997842568988,0.9941759567736881,0.0007489997151424177,8926.316246357173,153.80371462199946,20708.702762626308,29298.0,29974.0,29302.0,29979.0,,,,
2020/05/23,29635.847807032904,29639.998395049653,0.828798049424222,0.0005524806656467263,9078.992755284027,152.67650892685378,20556.855051748877,29299.0,29974.0,29303.0,29978.0,,,,
