,Date,Remain_confirm,Official_confirmed,Predict_confirm,Dailynew_confirm,Predict_actual
65,2020/04/15,538.8311544805401,,80744.15804793691,6.254084109968971e-05,80744.15821786968
66,2020/04/16,471.7248992759123,,80744.1580936342,4.5697292080149055e-05,80744.15821786968
67,2020/04/17,409.27593758823787,,80744.15812702803,3.3393829653505236e-05,80744.15821786968
68,2020/04/18,351.1610476169298,,80744.15815143708,2.4409042453044094e-05,80744.15821786968
69,2020/04/19,297.0794385589324,,80744.15816927986,1.784278720151633e-05,80744.15821786968
70,2020/04/20,246.75119429573533,,80744.15818232507,1.3045219020568767e-05,80744.15821786968
71,2020/04/21,199.91582482036029,,80744.15819186416,9.539075108477846e-06,80744.15821786968
72,2020/04/22,156.33091834530202,,80744.15819883742,6.973250492592342e-06,80744.15821786968
73,2020/04/23,115.77088700836613,,80744.15820393796,5.100559064885601e-06,80744.15821786968
74,2020/04/24,78.025798658251,,80744.15820767052,3.7325571611290798e-06,80744.15821786968
75,2020/04/25,42.90029109032912,,80744.15821040003,2.729510015342384e-06,80744.15821786968
76,2020/04/26,10.212560455256607,,80744.15821239477,1.9947347027482465e-06,80744.15821786968
77,2020/04/27,0.0,,80744.15821385356,1.4587840269086882e-06,80744.15821786968
78,2020/04/28,0.0,,80744.15821492515,1.0715975804487248e-06,80744.15821786968
79,2020/04/29,0.0,,80744.15821570987,7.847102097002789e-07,80744.15821786968
80,2020/04/30,0.0,,80744.15821628006,5.702077032765374e-07,80744.15821786968
81,2020/05/01,0.0,,80744.15821669115,4.1108251025434583e-07,80744.15821786968
82,2020/05/02,0.0,,80744.1582169978,3.0665250960737467e-07,80744.15821786968
83,2020/05/03,0.0,,80744.15821723007,2.3227039491757756e-07,80744.15821786968
84,2020/05/04,0.0,,80744.15821739823,1.681564754107967e-07,80744.15821786968
85,2020/05/05,0.0,,80744.15821750811,1.0987969289999455e-07,80744.15821786968
86,2020/05/06,0.0,,80744.1582175834,7.529342838097364e-08,80744.15821786968
87,2020/05/07,0.0,,80744.15821765909,7.567541615571827e-08,80744.15821786968
88,2020/05/08,0.0,,80744.15821772185,6.27533154329285e-08,80744.15821786968
89,2020/05/09,0.0,,80744.15821774755,2.571141521912068e-08,80744.15821786968
90,2020/05/10,0.0,,80744.15821777326,2.5713234208524224e-08,80744.15821786968
91,2020/05/11,0.0,,80744.15821778862,1.535590854473412e-08,80744.15821786968
92,2020/05/12,0.0,,80744.15821780253,1.3926182873547077e-08,80744.15821786968
93,2020/05/13,0.0,,80744.1582178101,7.565176929347217e-09,80744.15821786968
94,2020/05/14,0.0,,80744.15821781744,7.33962224330753e-09,80744.15821786968
95,2020/05/15,0.0,,80744.15821782313,5.687979864887892e-09,80744.15821786968
96,2020/05/16,0.0,,80744.15821782724,4.101821104995906e-09,80744.15821786968
97,2020/05/17,0.0,,80744.15821782875,1.507942215539515e-09,80744.15821786968
98,2020/05/18,0.0,,80744.15821783047,1.7262209439650178e-09,80744.15821786968
99,2020/05/19,0.0,,80744.15821783365,3.172317519783973e-09,80744.15821786968
100,2020/05/20,0.0,,80744.15821783463,9.74978320300579e-10,80744.15821786968
101,2020/05/21,0.0,,80744.15821783431,-3.055902197957039e-10,80744.15821786968
102,2020/05/22,0.0,,80744.15821783515,8.36735125631094e-10,80744.15821786968
103,2020/05/23,0.0,,80744.15821783536,2.0918378140777347e-10,80744.15821786968
104,2020/05/24,0.0,,80744.15821783605,6.821210263296962e-10,80744.15821786968
105,2020/05/25,0.0,,80744.15821783645,4.0381564758718014e-10,80744.15821786968
106,2020/05/26,0.0,,80744.15821783654,9.640643838793039e-11,80744.15821786968
107,2020/05/27,0.0,,80744.15821783661,6.184563972055917e-11,80744.15821786968
108,2020/05/28,0.0,,80744.15821783675,1.4006218407303095e-10,80744.15821786968
109,2020/05/29,0.0,,80744.1582178369,1.5643308870494363e-10,80744.15821786968
110,2020/05/30,0.0,,80744.15821783686,-4.911271389573811e-11,80744.15821786968
111,2020/05/31,0.0,,80744.15821783652,-3.365130396559834e-10,80744.15821786968
112,2020/06/01,0.0,,80744.15821783661,9.640643838793039e-11,80744.15821786968
113,2020/06/02,0.0,,80744.15821783713,5.20230969414115e-10,80744.15821786968
114,2020/06/03,0.0,,80744.1582178375,3.765308065339923e-10,80744.15821786968
115,2020/06/04,0.0,,80744.1582178371,-3.9108272176235914e-10,80744.15821786968
116,2020/06/05,0.0,,80744.15821783611,-1.0168150765821336e-09,80744.15821786968
117,2020/06/06,0.0,,80744.15821783629,1.891748979687691e-10,80744.15821786968
118,2020/06/07,0.0,,80744.15821783751,1.225998857989907e-09,80744.15821786968
119,2020/06/08,0.0,,80744.15821783841,8.967617759481072e-10,80744.15821786968
120,2020/06/09,0.0,,80744.15821783707,-1.3405951904132962e-09,80744.15821786968
121,2020/06/10,0.0,,80744.1582178346,-2.466549631208181e-09,80744.15821786968
122,2020/06/11,0.0,,80744.15821783573,1.1314114090055227e-09,80744.15821786968
123,2020/06/12,0.0,,80744.15821784009,4.356479621492326e-09,80744.15821786968
124,2020/06/13,0.0,,80744.15821784358,3.496097633615136e-09,80744.15821786968
125,2020/06/14,0.0,,80744.15821783931,-4.261892172507942e-09,80744.15821786968
126,2020/06/15,0.0,,80744.15821782505,-1.4264514902606606e-08,80744.15821786968
127,2020/06/16,0.0,,80744.15821782105,-3.999957698397339e-09,80744.15821786968
128,2020/06/17,0.0,,80744.15821783154,1.0497387847863138e-08,80744.15821786968
129,2020/06/18,0.0,,80744.1582178266,-4.9749360186979175e-09,80744.15821786968
130,2020/06/19,0.0,,80744.1582178168,-9.78070602286607e-09,80744.15821786968
131,2020/06/20,0.0,,80744.15821784441,2.762135409284383e-08,80744.15821786968
132,2020/06/21,0.0,,80744.15821786398,1.955231709871441e-08,80744.15821786968
133,2020/06/22,0.0,,80744.15821785296,-1.1028532753698526e-08,80744.15821786968
134,2020/06/23,0.0,,80744.15821784649,-6.459231371991336e-09,80744.15821786968
135,2020/06/24,0.0,,80744.15821784345,-3.035893314518034e-09,80744.15821786968
136,2020/06/25,0.0,,80744.15821783828,-5.165929906070233e-09,80744.15821786968
137,2020/06/26,0.0,,80744.15821783862,3.3651303965598345e-10,80744.15821786968
138,2020/06/27,0.0,,80744.15821783865,2.3646862246096147e-11,80744.15821786968
139,2020/06/28,0.0,,80744.15821783927,6.22094376012683e-10,80744.15821786968
140,2020/06/29,0.0,,80744.15821783865,-6.184563972055912e-10,80744.15821786968
141,2020/06/30,0.0,,80744.15821783847,-2.000888343900442e-10,80744.15821786968
142,2020/07/01,0.0,,80744.15821783844,-1.2732925824820995e-11,80744.15821786968
143,2020/07/02,0.0,,80744.1582178385,6.184563972055912e-11,80744.15821786968
144,2020/07/03,0.0,,80744.15821783851,1.2732925824820995e-11,80744.15821786968
145,2020/07/04,0.0,,80744.15821783853,2.3646862246096137e-11,80744.15821786968
146,2020/07/05,0.0,,80744.15821783854,7.275957614183426e-12,80744.15821786968
147,2020/07/06,0.0,,80744.15821783859,3.456079866737127e-11,80744.15821786968
148,2020/07/07,0.0,,80744.15821783862,3.819877747446299e-11,80744.15821786968
149,2020/07/08,0.0,,80744.15821783859,-3.6379788070917136e-11,80744.15821786968
150,2020/07/09,0.0,,80744.15821783843,-1.4551915228366854e-10,80744.15821786968
151,2020/07/10,0.0,,80744.15821783827,-1.7826096154749393e-10,80744.15821786968
152,2020/07/11,0.0,,80744.1582178381,-1.4915713109076023e-10,80744.15821786968
153,2020/07/12,0.0,,80744.15821783818,6.184563972055912e-11,80744.15821786968
154,2020/07/13,0.0,,80744.15821783835,1.7462298274040222e-10,80744.15821786968
155,2020/07/14,0.0,,80744.15821783841,5.093170329928399e-11,80744.15821786968
156,2020/07/15,0.0,,80744.15821783841,1.8189894035458565e-12,80744.15821786968
157,2020/07/16,0.0,,80744.15821783847,7.821654435247184e-11,80744.15821786968
158,2020/07/17,0.0,,80744.1582178387,2.255546860396862e-10,80744.15821786968
159,2020/07/18,0.0,,80744.15821783883,1.3642420526593924e-10,80744.15821786968
160,2020/07/19,0.0,,80744.1582178387,-1.3642420526593924e-10,80744.15821786968
161,2020/07/20,0.0,,80744.15821783833,-3.6743585951626306e-10,80744.15821786968
162,2020/07/21,0.0,,80744.158217838,-3.3105607144534583e-10,80744.15821786968
163,2020/07/22,0.0,,80744.15821783835,3.5288394428789616e-10,80744.15821786968
164,2020/07/23,0.0,,80744.15821783914,7.894414011389018e-10,80744.15821786968
165,2020/07/24,0.0,,80744.15821783952,3.6561687011271715e-10,80744.15821786968
166,2020/07/25,0.0,,80744.15821783892,-5.948095349594951e-10,80744.15821786968
167,2020/07/26,0.0,,80744.15821783738,-1.5406840248033404e-09,80744.15821786968
168,2020/07/27,0.0,,80744.15821783687,-5.020410753786563e-10,80744.15821786968
169,2020/07/28,0.0,,80744.15821783873,1.8717400962486863e-09,80744.15821786968
170,2020/07/29,0.0,,80744.15821784118,2.4338078219443564e-09,80744.15821786968
171,2020/07/30,0.0,,80744.15821784156,3.728928277269006e-10,80744.15821786968
172,2020/07/31,0.0,,80744.15821783859,-2.9540387913584705e-09,80744.15821786968
173,2020/08/01,0.0,,80744.15821783799,-6.129994289949536e-10,80744.15821786968
174,2020/08/02,0.0,,80744.15821784124,3.257810021750629e-09,80744.15821786968
175,2020/08/03,0.0,,80744.15821784279,1.5534169506281614e-09,80744.15821786968
176,2020/08/04,0.0,,80744.15821783867,-4.121829988434911e-09,80744.15821786968
177,2020/08/05,0.0,,80744.15821783552,-3.1595845939591527e-09,80744.15821786968
178,2020/08/06,0.0,,80744.15821784278,7.275957614183426e-09,80744.15821786968
179,2020/08/07,0.0,,80744.15821784802,5.235051503404975e-09,80744.15821786968
180,2020/08/08,0.0,,80744.15821784278,-5.2405084716156125e-09,80744.15821786968
181,2020/08/09,0.0,,80744.15821784185,-9.258656064048409e-10,80744.15821786968
182,2020/08/10,0.0,,80744.15821784048,-1.3951648725196717e-09,80744.15821786968
183,2020/08/11,0.0,,80744.15821784089,4.2382453102618456e-10,80744.15821786968
184,2020/08/12,0.0,,80744.15821784045,-4.347384674474596e-10,80744.15821786968
185,2020/08/13,0.0,,80744.15821784065,2.091837814077735e-10,80744.15821786968
186,2020/08/14,0.0,,80744.1582178414,7.439666660502553e-10,80744.15821786968
187,2020/08/15,0.0,,80744.1582178413,-1.1277734301984308e-10,80744.15821786968
188,2020/08/16,0.0,,80744.15821784125,-3.8198777474462986e-11,80744.15821786968
189,2020/08/17,0.0,,80744.15821784106,-1.837179297581315e-10,80744.15821786968
190,2020/08/18,0.0,,80744.15821784089,-1.8553691916167739e-10,80744.15821786968
191,2020/08/19,0.0,,80744.15821784086,-2.1827872842550278e-11,80744.15821786968
192,2020/08/20,0.0,,80744.15821784094,7.639755494892597e-11,80744.15821786968
193,2020/08/21,0.0,,80744.15821784106,1.1459633242338896e-10,80744.15821786968
194,2020/08/22,0.0,,80744.15821784109,4.547473508864641e-11,80744.15821786968
195,2020/08/23,0.0,,80744.15821784116,6.548361852765085e-11,80744.15821786968
196,2020/08/24,0.0,,80744.1582178412,2.5465851649642004e-11,80744.15821786968
197,2020/08/25,0.0,,80744.15821784103,-1.5643308870494366e-10,80744.15821786968
198,2020/08/26,0.0,,80744.15821784119,1.6189005691558125e-10,80744.15821786968
199,2020/08/27,0.0,,80744.15821784135,1.5643308870494366e-10,80744.15821786968
200,2020/08/28,0.0,,80744.15821784153,1.764419721439481e-10,80744.15821786968
201,2020/08/29,0.0,,80744.15821784169,1.5461409930139783e-10,80744.15821786968
202,2020/08/30,0.0,,80744.15821784182,1.2369127944111824e-10,80744.15821786968
203,2020/08/31,0.0,,80744.1582178418,-1.2732925824820989e-11,80744.15821786968
204,2020/09/01,0.0,,80744.15821784177,-1.2732925824820989e-11,80744.15821786968
205,2020/09/02,0.0,,80744.15821784182,4.365574568510056e-11,80744.15821786968
206,2020/09/03,0.0,,80744.15821784202,1.8735590856522324e-10,80744.15821786968
207,2020/09/04,0.0,,80744.15821784231,2.9467628337442875e-10,80744.15821786968
208,2020/09/05,0.0,,80744.15821784278,4.929461283609271e-10,80744.15821786968
209,2020/09/06,0.0,,80744.15821784352,7.275957614183426e-10,80744.15821786968
210,2020/09/07,0.0,,80744.15821784412,5.948095349594951e-10,80744.15821786968
211,2020/09/08,0.0,,80744.158217844,-1.2005330063402653e-10,80744.15821786968
212,2020/09/09,0.0,,80744.15821784319,-8.185452315956352e-10,80744.15821786968
213,2020/09/10,0.0,,80744.15821784193,-1.2496457202360034e-09,80744.15821786968
214,2020/09/11,0.0,,80744.15821784089,-1.036823960021138e-09,80744.15821786968
215,2020/09/12,0.0,,80744.15821784103,1.5461409930139783e-10,80744.15821786968
216,2020/09/13,0.0,,80744.15821784349,2.441083779558539e-09,80744.15821786968
217,2020/09/14,0.0,,80744.15821784691,3.4124241210520267e-09,80744.15821786968
218,2020/09/15,0.0,,80744.15821784863,1.7171259969472885e-09,80744.15821786968
219,2020/09/16,0.0,,80744.15821784714,-1.4770193956792355e-09,80744.15821786968
220,2020/09/17,0.0,,80744.15821784157,-5.573383532464504e-09,80744.15821786968
221,2020/09/18,0.0,,80744.15821783319,-8.381903171539307e-09,80744.15821786968
222,2020/09/19,0.0,,80744.15821782801,-5.173205863684416e-09,80744.15821786968
223,2020/09/20,0.0,,80744.1582178337,5.675246939063072e-09,80744.15821786968
224,2020/09/21,0.0,,80744.15821784217,8.483766578137875e-09,80744.15821786968
225,2020/09/22,0.0,,80744.15821783713,-5.027686711400747e-09,80744.15821786968
226,2020/09/23,0.0,,50005.66550979071,3.892637323588133e-09,50005.665509819104
227,2020/09/24,0.0,,50005.66550979071,0.0,50005.665509819104
228,2020/09/25,0.0,,50005.66550979071,0.0,50005.665509819104
229,2020/09/26,0.0,,50005.66550979071,0.0,50005.665509819104
230,2020/09/27,0.0,,50005.66550979071,0.0,50005.665509819104
231,2020/09/28,0.0,,50005.66550979071,0.0,50005.665509819104
232,2020/09/29,0.0,,50005.66550979071,0.0,50005.665509819104
233,2020/09/30,0.0,,50005.66550979071,0.0,50005.665509819104
234,2020/10/01,0.0,,50005.66550979071,0.0,50005.665509819104
235,2020/10/02,0.0,,50005.66550979071,0.0,50005.665509819104
236,2020/10/03,0.0,,50005.66550979071,0.0,50005.665509819104
237,2020/10/04,0.0,,50005.66550979071,0.0,50005.665509819104
238,2020/10/05,0.0,,50005.66550979071,0.0,50005.665509819104
239,2020/10/06,0.0,,50005.66550979071,0.0,50005.665509819104
