Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
22475.0,23066.0,21342.0,21919.0,9.89530235528946e-10,79.34300873868051,86.63300006411555,2020/05/12,22769.999999999367,21629.811950921383,18553.12491508285,3076.6870358385318,,,,
22476.0,23066.0,21415.0,21994.0,4.18367562815547e-10,74.18093200414296,86.58688114323786,2020/05/13,22769.999999999785,21703.992882925526,18540.718965943757,3163.2739169817696,,,,
22474.0,23066.0,21485.0,22063.0,1.418811734765768e-10,69.35470107873334,86.5177259109355,2020/05/14,22769.999999999927,21773.34758400426,18523.555941111554,3249.791642892705,,,,
22475.0,23066.0,21549.0,22128.0,9.458744898438454e-11,64.8424740653536,86.42715376339402,2020/05/15,22770.000000000022,21838.190058069613,18501.971261413513,3336.218796656099,,,,
22475.0,23067.0,21609.0,22189.0,8.36735125631094e-11,60.623789349367144,86.31668121161829,2020/05/16,22770.000000000106,21898.81384741898,18476.278369551263,3422.5354778677174,,,,
22475.0,23066.0,21665.0,22247.0,-7.676135282963514e-10,56.67959315907137,86.18771982969247,2020/05/17,22769.999999999338,21955.49344057805,18446.77024288064,3508.72319769741,,,,
22474.0,23066.0,21719.0,22300.0,-3.5652192309498787e-10,52.992007258872036,86.04159357341132,2020/05/18,22769.99999999898,22008.485447836923,18413.720656566104,3594.764791270821,,,,
22474.0,23066.0,21767.0,22350.0,1.6952981241047382e-09,49.544333554407785,85.87953843906371,2020/05/19,22770.000000000677,22058.02978139133,18377.385451681446,3680.644329709885,,,,
22474.0,23066.0,21813.0,22396.0,-2.473825588822365e-10,46.32096647431172,85.70270899661818,2020/05/20,22770.00000000043,22104.350747865643,18338.00370915914,3766.347038706503,,,,
22475.0,23066.0,21857.0,22440.0,-3.194145392626524e-09,43.30731107395695,85.51218449621183,2020/05/21,22769.999999997235,22147.6580589396,18295.798835736885,3851.859223202715,,,,
22474.0,23066.0,21897.0,22481.0,2.051820047199726e-09,40.48972642963054,85.30897308912563,2020/05/22,22769.999999999287,22188.14778536923,18250.97958907739,3937.1681962918406,,,,
22475.0,23066.0,21934.0,22519.0,8.38917912915349e-09,37.85545448913035,85.09401713326497,2020/05/23,22770.000000007676,22226.00323985836,18203.741026433254,4022.2622134251055,,,,
22475.0,23066.0,21969.0,22554.0,-2.091837814077735e-09,35.392568701114214,84.86819702366256,2020/05/24,22770.000000005584,22261.395808559475,18154.265398110707,4107.130410448768,,,,
22474.0,23065.0,22002.0,22588.0,-1.9124854588881135e-08,33.089918966310506,84.63233529708668,2020/05/25,22769.99999998646,22294.485727525785,18102.72298177993,4191.762745745855,,,,
22474.0,23066.0,22032.0,22619.0,-2.1573214326053858e-09,30.93708024800435,84.387200463937,2020/05/26,22769.999999984302,22325.42280777379,18049.272861563997,4276.149946209792,,,,
22475.0,23066.0,22062.0,22648.0,1.17652234621346e-08,28.924307883884467,84.13351034093739,2020/05/27,22769.999999996067,22354.347115657674,17994.063659106945,4360.283456550729,,,,
22475.0,23066.0,22089.0,22675.0,3.0449882615357637e-09,27.042484784546104,83.87193598786416,2020/05/28,22769.999999999112,22381.38960044222,17937.234207903628,4444.155392538593,,,,
22475.0,23066.0,22114.0,22701.0,-1.4551915228366852e-11,25.28309396165423,83.60310375589779,2020/05/29,22769.999999999098,22406.672694403875,17878.914198109385,4527.758496294491,,,,
22475.0,23066.0,22138.0,22724.0,5.820766091346741e-10,23.638169329864468,83.32759895631989,2020/05/30,22769.99999999968,22430.31086373374,17819.224768482927,4611.086095250811,,,,
22475.0,23067.0,22159.0,22746.0,2.2919266484677792e-10,22.100263867858303,83.04596823456814,2020/05/31,22769.99999999991,22452.411127601597,17758.279064116217,4694.132063485379,,,,
22475.0,23066.0,22180.0,22767.0,6.548361852765083e-11,20.662415215592773,82.75872213538514,2020/06/01,22769.999999999975,22473.07354281719,17696.182757196424,4776.890785620764,,,,
22475.0,23066.0,22198.0,22788.0,-1.709850039333105e-10,19.318115462592687,82.46633735567957,2020/06/02,22769.999999999804,22492.391658279783,17633.03453530334,4859.357122976444,,,,
22475.0,23066.0,22217.0,22805.0,-9.022187441587448e-10,18.061266907730896,82.16926004184643,2020/06/03,22769.9999999989,22510.452925187514,17568.926542169225,4941.52638301829,,,,
22475.0,23067.0,22233.0,22821.0,-4.3291947804391384e-10,16.886199347933143,81.86790450457829,2020/06/04,22769.99999999847,22527.339124535447,17503.94483701258,5023.394287522869,,,,
22475.0,23066.0,22250.0,22839.0,1.4806573744863272e-09,15.787579269108392,81.56265998446997,2020/06/05,22769.99999999995,22543.126703804555,17438.16975629722,5104.956947507339,,,,
22475.0,23066.0,22264.0,22853.0,3.710738383233547e-10,14.760435199663334,81.25388876548914,2020/06/06,22770.00000000032,22557.88713900422,17371.67630273139,5186.210836272828,,,,
22475.0,23066.0,22278.0,22866.0,-2.117303665727377e-09,13.80011753625513,80.94192916908378,2020/06/07,22769.999999998203,22571.687256540474,17304.534491098562,5267.1527654419115,,,,
22475.0,23067.0,22290.0,22880.0,1.9754224922508e-09,12.902278104167635,80.62709707824979,2020/06/08,22770.00000000018,22584.58953464464,17236.80967212448,5347.779862520161,,,,
22475.0,23066.0,22302.0,22892.0,8.360075298696756e-09,12.06285378307075,80.30968715854306,2020/06/09,22770.00000000854,22596.652388427712,17168.562838749007,5428.089549678704,,,,
22475.0,23066.0,22314.0,22903.0,-3.65253072232008e-09,11.278041148871125,79.98997474879707,2020/06/10,22770.000000004886,22607.930429576583,17099.850905149084,5508.079524427501,,,,
22474.0,23067.0,22325.0,22913.0,-2.091837814077735e-08,10.54428861645647,79.66821644671563,2020/06/11,22769.999999983967,22618.47471819304,17030.726977318824,5587.747740874217,,,,
22475.0,23067.0,22334.0,22924.0,5.893525667488575e-10,9.858274302525388,79.34465175940113,2020/06/12,22769.999999984557,22628.332992495565,16961.240599861947,5667.092392633618,,,,
22475.0,23066.0,22344.0,22933.0,1.153239281848073e-08,9.216892352033028,79.01950412343012,2020/06/13,22769.99999999609,22637.549884847598,16891.43798809055,5746.111896757048,,,,
22475.0,23067.0,22351.0,22941.0,2.5320332497358322e-09,8.617238943596021,78.69298194760904,2020/06/14,22769.99999999862,22646.167123791194,16821.362245086537,5824.804878704657,,,,
22475.0,23067.0,22360.0,22949.0,9.858922567218542e-10,8.05659913564159,78.36527959368232,2020/06/15,22769.999999999607,22654.223722926836,16751.053564628495,5903.17015829834,,,,
22474.0,23066.0,22367.0,22957.0,2.6921043172478676e-10,7.532434699969599,78.036578283768,2020/06/16,22769.999999999876,22661.756157626805,16680.5494210447,5981.206736582108,,,,
22476.0,23066.0,22375.0,22965.0,1.8189894035458565e-10,7.042372606560093,77.70704695866789,2020/06/17,22770.00000000006,22668.798530233365,16609.88474669259,6058.9137835407755,,,,
