日期,复工指数,缺工指数,省份,序号
3月23日,0.935,0.391,西藏自治区,196
3月24日,0.951,0.385,西藏自治区,197
3月25日,0.976,0.377,西藏自治区,198
2月10日,0.382,0.506,河北省,199
2月11日,0.371,0.501,河北省,200
2月12日,0.374,0.501,河北省,201
2月13日,0.381,0.5,河北省,202
2月14日,0.341,0.498,河北省,203
2月17日,0.404,0.503,河北省,204
2月18日,0.412,0.501,河北省,205
2月19日,0.426,0.499,河北省,206
2月20日,0.427,0.496,河北省,207
2月21日,0.452,0.494,河北省,208
2月24日,0.492,0.489,河北省,209
2月25日,0.494,0.485,河北省,210
2月26日,0.515,0.478,河北省,211
2月27日,0.512,0.473,河北省,212
2月28日,0.53,0.468,河北省,213
3月2日,0.617,0.437,河北省,214
3月3日,0.616,0.429,河北省,215
3月4日,0.634,0.42,河北省,216
3月5日,0.647,0.411,河北省,217
3月6日,0.666,0.401,河北省,218
3月9日,0.682,0.358,河北省,219
3月10日,0.725,0.389,河北省,220
3月11日,0.744,0.381,河北省,221
3月12日,0.739,0.367,河北省,222
3月13日,0.765,0.356,河北省,223
3月16日,0.804,0.333,河北省,224
3月17日,0.817,0.321,河北省,225
3月18日,0.828,0.311,河北省,226
3月19日,0.822,0.272,河北省,227
3月20日,0.849,0.268,河北省,228
3月23日,0.879,0.268,河北省,229
3月24日,0.878,0.269,河北省,230
3月25日,0.895,0.269,河北省,231
2月10日,0.222,0.381,湖北省,232
2月11日,0.221,0.381,湖北省,233
2月12日,0.222,0.38,湖北省,234
2月13日,0.229,0.38,湖北省,235
2月14日,0.236,0.379,湖北省,236
2月17日,0.216,0.378,湖北省,237
2月18日,0.209,0.377,湖北省,238
2月19日,0.208,0.377,湖北省,239
2月20日,0.211,0.377,湖北省,240
2月21日,0.212,0.376,湖北省,241
2月24日,0.223,0.374,湖北省,242
2月25日,0.223,0.374,湖北省,243
2月26日,0.22,0.373,湖北省,244
2月27日,0.215,0.373,湖北省,245
2月28日,0.218,0.373,湖北省,246
3月2日,0.237,0.372,湖北省,247
3月3日,0.239,0.371,湖北省,248
3月4日,0.249,0.371,湖北省,249
3月5日,0.256,0.371,湖北省,250
3月6日,0.257,0.371,湖北省,251
3月9日,0.268,0.369,湖北省,252
3月10日,0.293,0.369,湖北省,253
3月11日,0.313,0.369,湖北省,254
3月12日,0.328,0.368,湖北省,255
3月13日,0.345,0.368,湖北省,256
3月16日,0.509,0.365,湖北省,257
3月17日,0.547,0.363,湖北省,258
3月18日,0.574,0.362,湖北省,259
3月19日,0.596,0.36,湖北省,260
3月20日,0.627,0.357,湖北省,261
3月23日,0.658,0.346,湖北省,262
3月24日,0.666,0.341,湖北省,263
3月25日,0.667,0.336,湖北省,264
2月10日,0.584,0.782,青海省,265
2月11日,0.588,0.657,青海省,266
2月12日,0.587,0.597,青海省,267
2月13日,0.585,0.539,青海省,268
2月14日,0.594,0.559,青海省,269
2月17日,0.628,0.266,青海省,270
2月18日,0.633,0.264,青海省,271
2月19日,0.73,0.26,青海省,272
2月20日,0.765,0.256,青海省,273
2月21日,0.831,0.251,青海省,274
2月24日,0.896,0.243,青海省,275
2月25日,0.899,0.239,青海省,276
2月26日,0.915,0.234,青海省,277
2月27日,0.87,0.227,青海省,278
2月28日,0.951,0.218,青海省,279
3月2日,0.953,0.201,青海省,280
3月3日,0.937,0.195,青海省,281
3月4日,0.967,0.19,青海省,282
3月5日,0.968,0.186,青海省,283
3月6日,0.973,0.174,青海省,284
3月9日,0.978,0.165,青海省,285
3月10日,0.981,0.158,青海省,286
3月11日,0.982,0.154,青海省,287
3月12日,0.981,0.147,青海省,288
3月13日,0.986,0.134,青海省,289
3月16日,0.986,0.128,青海省,290
3月17日,0.989,0.122,青海省,291
3月18日,0.99,0.118,青海省,292
3月19日,0.991,0.115,青海省,293
3月20日,0.995,0.109,青海省,294
3月23日,0.995,0.115,青海省,295
3月24日,0.994,0.115,青海省,296
3月25日,0.994,0.113,青海省,297
2月10日,0.231,0.947,浙江省,298
2月11日,0.222,0.945,浙江省,299
2月12日,0.243,0.943,浙江省,300
2月13日,0.262,0.939,浙江省,301
2月14日,0.288,0.935,浙江省,302
2月17日,0.372,0.914,浙江省,303
2月18日,0.406,0.903,浙江省,304
2月19日,0.438,0.888,浙江省,305
2月20日,0.492,0.87,浙江省,306
2月21日,0.527,0.851,浙江省,307
2月24日,0.628,0.78,浙江省,308
2月25日,0.642,0.754,浙江省,309
2月26日,0.634,0.726,浙江省,310
2月27日,0.666,0.702,浙江省,311
2月28日,0.692,0.679,浙江省,312
3月2日,0.774,0.602,浙江省,313
3月3日,0.776,0.576,浙江省,314
3月4日,0.784,0.554,浙江省,315
3月5日,0.814,0.535,浙江省,316
3月6日,0.819,0.514,浙江省,317
3月9日,0.854,0.464,浙江省,318
3月10日,0.875,0.447,浙江省,319
3月11日,0.892,0.432,浙江省,320
3月12日,0.878,0.419,浙江省,321
3月13日,0.899,0.406,浙江省,322
3月16日,0.937,0.374,浙江省,323
3月17日,0.939,0.365,浙江省,324
3月18日,0.949,0.356,浙江省,325
3月19日,0.953,0.347,浙江省,326
3月20日,0.966,0.338,浙江省,327
3月23日,0.976,0.308,浙江省,328
3月24日,0.976,0.3,浙江省,329
3月25日,0.982,0.295,浙江省,330
2月10日,0.376,0.791,广东省,331
2月11日,0.361,0.785,广东省,332
2月12日,0.374,0.779,广东省,333
2月13日,0.364,0.772,广东省,334
2月14日,0.371,0.767,广东省,335
2月17日,0.43,0.745,广东省,336
2月18日,0.442,0.737,广东省,337
2月19日,0.46,0.728,广东省,338
2月20日,0.485,0.716,广东省,339
2月21日,0.515,0.704,广东省,340
2月24日,0.609,0.654,广东省,341
2月25日,0.616,0.634,广东省,342
2月26日,0.632,0.616,广东省,343
2月27日,0.644,0.6,广东省,344
2月28日,0.661,0.583,广东省,345
3月2日,0.742,0.53,广东省,346
3月3日,0.743,0.516,广东省,347
3月4日,0.724,0.503,广东省,348
3月5日,0.751,0.492,广东省,349
3月6日,0.767,0.48,广东省,350
3月9日,0.811,0.453,广东省,351
3月10日,0.817,0.443,广东省,352
3月11日,0.813,0.435,广东省,353
3月12日,0.819,0.427,广东省,354
3月13日,0.834,0.42,广东省,355
3月16日,0.863,0.401,广东省,356
3月17日,0.858,0.395,广东省,357
3月18日,0.844,0.388,广东省,358
3月19日,0.843,0.382,广东省,359
3月20日,0.871,0.378,广东省,360
3月23日,0.9,0.364,广东省,361
3月24日,0.897,0.36,广东省,362
3月25日,0.903,0.357,广东省,363
2月10日,0.419,0.251,安徽省,364
2月11日,0.396,0.248,安徽省,365
2月12日,0.416,0.245,安徽省,366
2月13日,0.426,0.243,安徽省,367
2月14日,0.427,0.24,安徽省,368
2月17日,0.46,0.23,安徽省,369
2月18日,0.472,0.226,安徽省,370
2月19日,0.478,0.223,安徽省,371
2月20日,0.506,0.22,安徽省,372
2月21日,0.525,0.217,安徽省,373
2月24日,0.672,0.203,安徽省,374
2月25日,0.662,0.198,安徽省,375
2月26日,0.662,0.193,安徽省,376
2月27日,0.673,0.189,安徽省,377
2月28日,0.652,0.184,安徽省,378
3月2日,0.76,0.167,安徽省,379
3月3日,0.759,0.163,安徽省,380
3月4日,0.773,0.16,安徽省,381
3月5日,0.782,0.157,安徽省,382
3月6日,0.781,0.154,安徽省,383
3月9日,0.785,0.145,安徽省,384
3月10日,0.821,0.142,安徽省,385
3月11日,0.85,0.139,安徽省,386
3月12日,0.851,0.136,安徽省,387
3月13日,0.834,0.133,安徽省,388
3月16日,0.888,0.124,安徽省,389
3月17日,0.896,0.121,安徽省,390
3月18日,0.903,0.118,安徽省,391
3月19日,0.906,0.115,安徽省,392
3月20日,0.926,0.112,安徽省,393
3月23日,0.929,0.104,安徽省,394
3月24日,0.93,0.103,安徽省,395
3月25日,0.91,0.101,安徽省,396
2月10日,0.409,0.583,福建省,397
2月11日,0.404,0.58,福建省,398
2月12日,0.403,0.577,福建省,399
2月13日,0.417,0.574,福建省,400
2月14日,0.413,0.571,福建省,401
2月17日,0.531,0.56,福建省,402
2月18日,0.555,0.556,福建省,403
2月19日,0.579,0.551,福建省,404
2月20日,0.62,0.545,福建省,405
2月21日,0.656,0.538,福建省,406
2月24日,0.72,0.509,福建省,407
2月25日,0.721,0.499,福建省,408
2月26日,0.726,0.49,福建省,409
2月27日,0.723,0.481,福建省,410
2月28日,0.744,0.473,福建省,411
3月2日,0.778,0.447,福建省,412
3月3日,0.783,0.439,福建省,413
3月4日,0.731,0.432,福建省,414
3月5日,0.775,0.425,福建省,415
3月6日,0.803,0.417,福建省,416
3月9日,0.834,0.399,福建省,417
3月10日,0.832,0.391,福建省,418
3月11日,0.844,0.386,福建省,419
3月12日,0.758,0.38,福建省,420
3月13日,0.847,0.375,福建省,421
