Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
12726.0,13172.0,12721.0,13168.0,0.0,0.020121708357692114,33.022922865207875,33.408569068731595,2020/03/16,12948.844513588288,12944.866703577261,12628.881788825393,200.43811739321427,12744.428586184047,2020-03-16,12939.0,12692.0,0.0,12807.0
12726.0,13172.0,12723.0,13168.0,0.0,0.014541935846864362,28.90541160881366,29.25379668527603,2020/03/17,12948.844513588288,12944.881245513108,12657.787200434206,171.1988626437851,12773.682382869323,2020-03-17,12939.0,12706.0,0.0,12821.0
12726.0,13172.0,12722.0,13168.0,0.0,0.010509440557143535,25.29957718143487,25.615307569380093,2020/03/18,12948.844513588288,12944.891754953665,12683.08677761564,145.59406451496216,12799.297690438703,2020-03-18,12939.0,12725.0,0.0,12840.0
12727.0,13172.0,12723.0,13169.0,0.0,0.007595160746859619,22.141948262598817,22.42906198044875,2020/03/19,12948.844513588288,12944.899350114412,12705.22872587824,123.17259769526027,12821.726752419152,2020-03-19,12939.0,12743.0,0.0,12859.0
12727.0,13173.0,12723.0,13169.0,0.0,0.005489014154591132,19.376895233635878,19.638931730944023,2020/03/20,12948.844513588288,12944.904839128567,12724.605621111876,103.53915497847083,12841.365684150096,2020-03-20,12939.0,12756.0,0.0,12872.0
12726.0,13173.0,12722.0,13169.0,0.0,0.00396690428169677,16.955670145493063,17.195731650523157,2020/03/21,12948.844513588288,12944.908806032849,12741.561291257369,86.34739023222937,12858.56141580062,2020-03-21,12940.0,12770.0,1.0,12887.0
12727.0,13172.0,12723.0,13169.0,0.0,0.00286687719017209,14.835561790390784,15.056367167186181,2020/03/22,12948.844513588288,12944.911672910039,12756.39685304776,71.29388994223336,12873.617782967805,2020-03-22,12940.0,12776.0,0.0,12893.0
12726.0,13172.0,12722.0,13168.0,0.0,0.0020718889700219734,12.9791527274956,13.183084740758204,2020/03/23,12948.844513588288,12944.913744799009,12769.376005775257,58.11287709044518,12886.800867708564,2020-03-23,12943.0,12782.0,3.0,12899.0
12726.0,13172.0,12722.0,13169.0,0.0,0.0014973517609178089,11.35366646237344,11.542813245345314,2020/03/24,12948.844513588288,12944.91524215077,12780.729672237627,46.571561196860785,12898.343680953909,2020-03-24,12943.0,12783.0,0.0,12901.0
12726.0,13173.0,12723.0,13169.0,0.0,0.0010821338109963108,9.930394229408193,10.106585657540563,2020/03/25,12948.844513588288,12944.91632428458,12790.660066467037,36.46605767313122,12908.45026661145,2020-03-25,12943.0,12786.0,0.0,12904.0
12726.0,13173.0,12722.0,13168.0,0.0,0.0007820592054486042,8.684191963971898,8.849031554585963,2020/03/26,12948.844513588288,12944.917106343786,12799.344258431009,27.617808177750703,12917.299298166035,2020-03-26,12944.0,12789.0,1.0,12907.0
12726.0,13173.0,12722.0,13168.0,0.0,0.000565192400244996,7.593038637403879,7.747931517986217,2020/03/27,12948.844513588288,12944.917671536186,12806.937297068413,19.87044185216473,12925.047229684022,2020-03-27,12944.0,12791.0,0.0,12909.0
12726.0,13172.0,12722.0,13168.0,0.0,0.00040846381307346746,6.6376497057444785,6.783827138951892,2020/03/28,12948.844513588288,12944.91808,12813.574946774155,13.087023177025912,12931.831056822974,2020-03-28,12945.0,12795.0,1.0,12913.0
12726.0,13172.0,12723.0,13169.0,0.0,1.0819200000005367,-18.742918579153407,-18.83105682297355,2020/03/29,12948.844513588288,12946.0,12794.832028195005,33.0,12913.0,2020-03-29,12946.0,12795.0,1.0,12913.0
12726.0,13173.0,12724.0,13171.0,0.0,0.7887871240618551,5.3314317326749014,5.465546785126207,2020/03/30,12948.844513588288,12946.398387154062,12800.16345992768,28.323240338935648,12918.465546785126,2020-03-30,12946.0,12795.0,0.0,12913.0
12727.0,13172.0,12725.0,13171.0,0.0,0.5700554763534456,6.78649190678334,6.9341364318224805,2020/03/31,12948.844513588288,12947.358842600415,12806.949951834464,21.959159383466613,12925.399683216949,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,0.4119783860132884,7.470058492868702,7.6241208829051175,2020/04/01,12948.844513588288,12947.770820986429,12814.420010327329,14.747016886574784,12933.023804099854,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,0.29773626193855307,7.641867969505256,7.797621866147892,2020/04/02,12948.844513588288,12948.068557248367,12822.061878296836,7.247131282365444,12940.821425966002,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,0.2151736289542896,7.4839313916636465,7.462304911319734,2020/04/03,12948.844513588288,12948.283730877321,12829.545809688501,0.0,12948.283730877321,,,,,
12726.0,13173.0,12726.0,13172.0,0.0,0.15550571555650095,7.122796616071355,0.15550571555650095,2020/04/04,12948.844513588288,12948.439236592878,12836.66860630457,0.0,12948.439236592878,,,,,
12727.0,13173.0,12726.0,13172.0,0.0,0.11238378786401881,6.645550111126795,0.11238378786401881,2020/04/05,12948.844513588288,12948.551620380742,12843.314156415698,0.0,12948.551620380742,,,,,
12727.0,13173.0,12726.0,13172.0,0.0,0.08121962124096171,6.111303362804392,0.08121962124096171,2020/04/06,12948.844513588288,12948.632840001983,12849.4254597785,0.0,12948.632840001983,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,0.05869732119208493,5.559426559568237,0.05869732119208493,2020/04/07,12948.844513588288,12948.691537323175,12854.984886338072,0.0,12948.691537323175,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,0.042420480409418815,5.015439816592334,0.042420480409418815,2020/04/08,12948.844513588288,12948.733957803584,12860.000326154663,0.0,12948.733957803584,,,,,
12727.0,13172.0,12726.975000000002,13173.0,0.0,0.030657230230644927,4.49521883259149,0.030657230230644927,2020/04/09,12948.844513588288,12948.764615033815,12864.495544987254,0.0,12948.764615033815,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,0.02215594317931391,4.007988869379915,0.02215594317931391,2020/04/10,12948.844513588288,12948.786770976994,12868.503533856634,0.0,12948.786770976994,,,,,
12726.0,13172.0,12727.0,13172.0,0.0,0.016012071440854925,3.558448721136301,0.016012071440854925,2020/04/11,12948.844513588288,12948.802783048435,12872.06198257777,0.0,12948.802783048435,,,,,
12726.0,13173.0,12726.0,13173.0,0.0,0.011571905339224031,3.1482708830226334,0.011571905339224031,2020/04/12,12948.844513588288,12948.814354953774,12875.210253460791,0.0,12948.814354953774,,,,,
12725.0,13172.0,12726.0,13172.0,0.0,0.008363001879843068,2.7771552054327917,0.008363001879843068,2020/04/13,12948.844513588288,12948.822717955654,12877.987408666226,0.0,12948.822717955654,,,,,
12726.0,13172.0,12726.0,13173.0,0.0,0.006043930899977568,2.443563725837521,0.006043930899977568,2020/04/14,12948.844513588288,12948.828761886554,12880.430972392063,0.0,12948.828761886554,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,0.004367941848613555,2.145228303843396,0.004367941848613555,2020/04/15,12948.844513588288,12948.833129828403,12882.576200695908,0.0,12948.833129828403,,,,,
12727.0,13172.0,12726.0,13172.0,0.0,0.0031567060759698506,1.879497057390836,0.0031567060759698506,2020/04/16,12948.844513588288,12948.836286534479,12884.455697753296,0.0,12948.836286534479,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,0.0022813475952716544,1.6435668000412988,0.0022813475952716544,2020/04/17,12948.844513588288,12948.838567882074,12886.09926455334,0.0,12948.838567882074,,,,,
12727.0,13172.0,12726.0,13172.0,0.0,0.001648726278290269,1.4346353614582767,0.001648726278290269,2020/04/18,12948.844513588288,12948.840216608352,12887.533899914795,0.0,12948.840216608352,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,0.001191535133330035,1.2499979021740728,0.001191535133330035,2020/04/19,12948.844513588288,12948.841408143486,12888.783897816973,0.0,12948.841408143486,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,0.0008611207176727476,1.0871045273379425,0.0008611207176727476,2020/04/20,12948.844513588288,12948.842269264203,12889.871002344309,0.0,12948.842269264203,,,,,
12726.0,13173.0,12726.0,13172.0,0.0,0.000622330182523001,0.9435913762627024,0.000622330182523001,2020/04/21,12948.844513588288,12948.842891594386,12890.814593720572,0.0,12948.842891594386,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,0.0004497571226238506,0.8172938780480763,0.0004497571226238506,2020/04/22,12948.844513588288,12948.843341351509,12891.63188759862,0.0,12948.843341351509,,,,,
12726.0,13173.0,12726.0,13172.0,0.0,0.0003250387162552215,0.7062482721903507,0.0003250387162552215,2020/04/23,12948.844513588288,12948.843666390225,12892.33813587081,0.0,12948.843666390225,,,,,
12727.0,13172.0,12726.0,13172.0,0.0,0.00023490496823797002,0.6086856253987207,0.00023490496823797002,2020/04/24,12948.844513588288,12948.843901295193,12892.946821496209,0.0,12948.843901295193,,,,,
12727.0,13172.0,12726.0,13173.0,0.0,0.000169765466125682,0.5230213313861896,0.000169765466125682,2020/04/25,12948.844513588288,12948.84407106066,12893.469842827595,0.0,12948.84407106066,,,,,
12726.0,13172.0,12726.0,13173.0,0.0,0.0001226891308760969,0.4478421047861048,0.0001226891308760969,2020/04/26,12948.844513588288,12948.84419374979,12893.917684932381,0.0,12948.84419374979,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,8.866736243362539e-05,0.3818918353917979,8.866736243362539e-05,2020/04/27,12948.844513588288,12948.844282417152,12894.299576767771,0.0,12948.844282417152,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,6.407977161870804e-05,0.3240572173835972,6.407977161870804e-05,2020/04/28,12948.844513588288,12948.844346496924,12894.623633985157,0.0,12948.844346496924,,,,,
12726.0,13173.0,12726.0,13173.0,0.0,4.631026058632415e-05,0.2733537245712796,4.631026058632415e-05,2020/04/29,12948.844513588288,12948.844392807185,12894.89698770973,0.0,12948.844392807185,,,,,
12727.0,13172.0,12726.0,13173.0,0.0,3.3468408219050616e-05,0.22891229430388196,3.3468408219050616e-05,2020/04/30,12948.844513588288,12948.844426275593,12895.125900004034,0.0,12948.844426275593,,,,,
12726.0,13172.0,12727.0,13172.0,0.0,2.4187529561459087e-05,0.18996691371467025,2.4187529561459087e-05,2020/05/01,12948.844513588288,12948.844450463122,12895.315866917746,0.0,12948.844450463122,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,1.74802935362095e-05,0.15584321426103998,1.74802935362095e-05,2020/05/02,12948.844513588288,12948.844467943416,12895.471710132008,0.0,12948.844467943416,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,1.263308513443917e-05,0.1259480858752795,1.263308513443917e-05,2020/05/03,12948.844513588288,12948.844480576501,12895.597658217883,0.0,12948.844480576501,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,9.129960744758137e-06,0.09976030622965483,9.129960744758137e-06,2020/05/04,12948.844513588288,12948.844489706462,12895.69741852411,0.0,12948.844489706462,,,,,
12727.0,13172.0,12726.0,13172.0,0.0,6.597128958674148e-06,0.07682212444160541,6.597128958674148e-06,2020/05/05,12948.844513588288,12948.84449630359,12895.774240648554,0.0,12948.84449630359,,,,,
12727.0,13172.0,12726.0,13172.0,0.0,4.768100552610122e-06,0.056731752541963935,4.768100552610122e-06,2020/05/06,12948.844513588288,12948.844501071691,12895.830972401096,0.0,12948.844501071691,,,,,
12726.0,13172.0,12727.0,13173.0,0.0,3.447465132921934e-06,0.039136677334681735,3.447465132921934e-06,2020/05/07,12948.844513588288,12948.844504519157,12895.87010907843,0.0,12948.844504519157,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,2.4906566977733746e-06,0.023727729509118944,2.4906566977733746e-06,2020/05/08,12948.844513588288,12948.844507009813,12895.89383680794,0.0,12948.844507009813,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,1.7997226677834988e-06,0.010233836082989,1.7997226677834988e-06,2020/05/09,12948.844513588288,12948.844508809536,12895.904070644023,0.0,12948.844508809536,,,,,
12727.0,13173.0,12726.0,13172.0,0.0,1.3012613635510206e-06,-0.0015826142061996509,1.3012613635510206e-06,2020/05/10,12948.844513588288,12948.844510110797,12895.902488029817,0.0,12948.844510110797,,,,,
12726.0,13172.0,12726.0,13173.0,0.0,9.400955605087802e-07,-0.011929862230317669,9.400955605087802e-07,2020/05/11,12948.844513588288,12948.844511050893,12895.890558167586,0.0,12948.844511050893,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,6.784066499676555e-07,-0.020990375269320797,6.784066499676555e-07,2020/05/12,12948.844513588288,12948.8445117293,12895.869567792317,0.0,12948.8445117293,,,,,
12726.0,13173.0,12726.0,13172.0,0.0,4.917947080684826e-07,-0.02892401468125172,4.917947080684826e-07,2020/05/13,12948.844513588288,12948.844512221094,12895.840643777638,0.0,12948.844512221094,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,3.5485209082253277e-07,-0.035870824514859116,3.5485209082253277e-07,2020/05/14,12948.844513588288,12948.844512575946,12895.80477295312,0.0,12948.844512575946,,,,,
12726.0,13172.0,12727.0,13172.0,0.0,2.5569897843524814e-07,-0.041953491268941434,2.5569897843524814e-07,2020/05/15,12948.844513588288,12948.844512831645,12895.762819461854,0.0,12948.844512831645,,,,,
12726.0,13172.0,12726.0,13172.0,0.0,1.853277353802696e-07,-0.04727942896352033,1.853277353802696e-07,2020/05/16,12948.844513588288,12948.844513016973,12895.715540032888,0.0,12948.844513016973,,,,,
