Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/23,1455.2108222419997,6136.079283458428,311.72707461204095,1226.9843112071148,8.851548714526379,1.7327798339746945,1446.3592735274733,1381.0,1531.0,5983.0,6290.0,2020-03-23,1442.0,371.0,42.0
2020/03/24,1839.8993795855952,7574.725839667521,384.68855734359545,1438.6465562090925,11.049807596057427,2.198258881531048,1828.8495719895377,1756.0,1924.0,7405.0,7746.0,2020-03-24,1930.0,488.0,56.0
2020/03/25,2369.0,9273.5499022692,529.1006204144048,1698.8240626016795,63.0,51.95019240394257,2306.0,2274.0,2465.0,9085.0,9462.0,2020-03-25,2369.0,439.0,63.0
2020/03/26,2926.5063079127585,11090.361539121208,557.5063079127585,1816.8116368520077,66.47068553847724,3.470685538477241,2860.0356223742815,2821.0,3033.0,10884.0,11297.0,,,,
2020/03/27,3577.4461627518413,12993.063146571898,650.9398548390827,1902.70160745069,70.75052148939903,4.279835950921793,3506.695641262442,3461.0,3695.0,12770.0,13217.0,,,,
2020/03/28,4318.091906043944,14890.163343359429,740.6457432921025,1897.1001967875309,75.96247226302226,5.211950773623229,4242.129433780921,4190.0,4448.0,14652.0,15130.0,,,,
2020/03/29,5137.948309939035,16679.005626185055,819.8564038950917,1788.8422828256262,82.21979535751159,6.257323094489323,5055.728514581524,4998.0,5279.0,16426.0,16933.0,,,,
2020/03/30,6020.123559351469,18265.35798274567,882.1752494124339,1586.3523565606156,89.61702936751607,7.397234010004482,5930.506529983953,5868.0,6172.0,18001.0,18530.0,,,,
2020/03/31,6943.119565652632,19583.05128865732,922.9960063011631,1317.693305911649,98.22246102199107,8.605431654474998,6844.8971046306415,6780.0,7107.0,19309.0,19858.0,,,,
2020/04/01,7883.660280294112,20605.956862467636,940.54071464148,1022.9055738103161,108.07378532963662,9.851324307645555,7775.586494964476,7710.0,8058.0,20325.0,20887.0,,,,
2020/04/02,8819.742258582508,21347.757797988797,936.0819782883955,741.8009355211616,119.17783451559364,11.104049185957024,8700.564424066913,8636.0,9004.0,21062.0,21635.0,,,,
2020/04/03,9733.03589557616,21850.93949299201,913.2936369936524,503.18169500321164,131.5140631825181,12.336228666924455,9601.521832393642,9540.0,9927.0,21562.0,22141.0,,,,
2020/04/04,10610.11633920853,22171.038179541916,877.0804436323688,320.09868654990714,145.04050414395772,13.526440961439619,10465.075835064572,10409.0,10812.0,21879.0,22463.0,,,,
2020/04/05,11442.514906787817,22362.682774644833,832.3985675792883,191.64459510291636,159.70055432315112,14.660050179193405,11282.814352464666,11233.0,11653.0,22070.0,22656.0,,,,
2020/04/06,12225.957703872187,22471.10342015012,783.4427970843699,108.42064550528812,175.42922063090344,15.72866630775232,12050.528483241284,12010.0,12443.0,22178.0,22765.0,,,,
2020/04/07,12959.264356347583,22529.30715207383,733.3066524753958,58.20373192370971,192.15805292047207,16.72883228956863,12767.10630342711,12736.0,13183.0,22235.0,22824.0,,,,
2020/04/08,13643.275423082132,22559.07886796193,684.0110667345489,29.771715888098697,209.81857491614488,17.66052199567281,13433.456848165986,13415.0,13873.0,22266.0,22854.0,,,,
2020/04/09,14279.999309686096,22573.64591223743,636.7238866039643,14.567044275499939,228.3444019558983,18.52582703975341,14051.654907730199,14046.0,14514.0,22280.0,22869.0,,,,
2020/04/10,14872.021917307338,22580.488722540278,592.0226076212421,6.842810302849102,247.67238503300138,19.327983077103084,14624.349532274337,14633.0,15111.0,22286.0,22876.0,,,,
2020/04/11,15422.140701400027,22583.585045039647,550.1187840926887,3.096322499368398,267.74311602771184,20.07073099471046,15154.397585372315,15180.0,15666.0,22290.0,22878.0,,,,
2020/04/12,15933.15893202236,22584.93878488264,511.01823062233234,1.3537398429944005,288.50105462841213,20.7579386007003,15644.657877393947,15686.0,16181.0,22291.0,22880.0,,,,
2020/04/13,16407.781108913663,22585.512260044237,474.62217689130375,0.5734751615964342,309.8944519317532,21.39339730334109,16097.88665698191,16157.0,16660.0,22292.0,22880.0,,,,
2020/04/14,16848.56645351743,22585.748249449058,440.78534460376613,0.23598940482042963,331.87517629326595,21.980724361512728,16516.691277224163,16595.0,17103.0,22291.0,22881.0,,,,
2020/04/15,17257.913154606766,22585.8428039971,409.3467010893364,0.09455454804265173,354.3984998079501,22.523323514684137,16903.514654798815,17001.0,17516.0,22291.0,22881.0,,,,
2020/04/16,17638.057694467185,22585.879770915093,380.1445398604192,0.03696691799268592,377.4228752851317,23.024375477181593,17260.634819182054,17378.0,17899.0,22291.0,22881.0,,,,
2020/04/17,17991.080949924035,22585.893900767303,353.02325545685017,0.01412985221031704,400.90971782415846,23.48684253902678,17590.171232099878,17729.0,18254.0,22291.0,22881.0,,,,
2020/04/18,18318.916952104653,22585.899190570883,327.8360021806184,0.005289803579216823,424.82319699988227,23.913479175723808,17894.093755104772,18054.0,18584.0,22292.0,22881.0,,,,
2020/04/19,18623.3623870705,22585.901133429357,304.4454349658481,0.001942858474649256,449.1300417628386,24.306844762956302,18174.232345307664,18356.0,18891.0,22292.0,22880.0,,,,
2020/04/20,18906.085999984512,22585.901834572745,282.723612914011,0.0007011433881416451,473.79935839014917,24.669316627310593,18432.286641594364,18637.0,19176.0,22291.0,22881.0,,,,
2020/04/21,19168.63756785063,22585.902083545043,262.5515678661177,0.00024897229741327465,498.8024610776575,25.003102687508317,18669.83510677297,18898.0,19441.0,22292.0,22881.0,,,,
2020/04/22,19412.45632790711,22585.90217064863,243.81876005648155,8.710358815733343e-05,524.1127144837349,25.31025340607738,18888.343613423378,19140.0,19686.0,22291.0,22881.0,,,,
2020/04/23,19638.878842036895,22585.90220070988,226.42251412978294,3.006124825333245e-05,549.7053874555106,25.592672971775755,19089.173454581385,19365.0,19914.0,22291.975000000002,22880.0,,,,
2020/04/24,19849.14631569347,22585.90221095694,210.26747365657502,1.0247062164125964e-05,575.5575171460948,25.852129690584206,19273.588798547375,19573.0,20125.0,22292.0,22881.0,,,,
2020/04/25,20044.411395459058,22585.902214407804,195.26507976558787,3.4508630051277578e-06,601.6477829026476,26.090265756552753,19442.76361255641,19768.0,20322.0,22291.0,22881.0,,,,
2020/04/26,20225.744488297296,22585.902215556875,181.33309283823837,1.149070158135146e-06,627.9563890615951,26.308606158947555,19597.788099235702,19948.0,20505.0,22292.0,22881.0,,,,
2020/04/27,20394.139627699,22585.902215937025,168.39513940170582,3.8015059544704854e-07,654.4649561597168,26.508567098121716,19739.674671539284,20115.0,20674.0,22293.0,22880.0,,,,
2020/04/28,20550.51992455222,22585.902216061728,156.38029685321817,1.2470263754948974e-07,681.1564198508456,26.691463691128774,19869.363504701374,20270.0,20832.0,22292.0,22881.0,,,,
2020/04/29,20695.742629612032,22585.90221610229,145.22270505981214,4.05634636990726e-08,708.0149370266931,26.85851717584751,19987.72769258534,20415.0,20978.0,22292.0,22881.0,,,,
2020/04/30,20830.603832884197,22585.902216114388,134.86120327216486,1.2096279533579946e-08,735.0257986713209,27.010861644627767,20095.578034212875,20548.0,21114.0,22292.0,22881.0,,,,
