Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove,Official_cure
2020/05/29,29794.27241849615,29794.454486043727,0.10441690028892481,0.07564990069295163,15358.297270976942,180.9434640437812,14435.97514751921,29456.0,30132.0,29456.0,30134.0,,,,,
2020/05/30,29794.362662460568,29794.520152359833,0.09024396441600402,0.06566631610621698,15537.002022689565,178.70475171262296,14257.360639771003,29457.0,30133.0,29457.0,30133.0,,,,,
2020/05/31,29794.44078755553,29794.577243705426,0.0781250949621608,0.057091345592198195,15713.495612930128,176.4935902405632,14080.945174625402,29457.0,30132.0,29457.0,30133.0,,,,,
2020/06/01,29794.50853280769,29794.626958167624,0.06774525215951144,0.04971446219860809,15887.805274919388,174.30966198926035,13906.7032578883,29458.0,30134.0,29457.0,30134.0,,,,,
2020/06/02,29794.567373000056,29794.670316409258,0.05884019236691529,0.043358241633541184,16059.95792459654,172.1526496771512,13734.609448403517,29457.0,30133.0,29456.0,30133.0,,,,,
2020/06/03,29794.618560896975,29794.708189321227,0.051187896919145714,0.03787291196931619,16229.980161546015,170.02223694947497,13564.63839935096,29456.0,30134.0,29456.0,30134.0,,,,,
2020/06/04,29794.663162419904,29794.74132116938,0.04460152292813291,0.03313184815124259,16397.898270389625,167.91810884361075,13396.764892030278,29457.0,30134.0,29457.0,30134.0,,,,,
2020/06/05,29794.70208598081,29794.770348988997,0.03892356090727844,0.02902781961893197,16563.738222560336,165.8399521707106,13230.963863420475,29457.0,30133.0,29457.0,30133.0,,,,,
2020/06/06,29794.736107000965,29794.795818871706,0.03402102015388664,0.02546988270842121,16727.52567838576,163.7874558254225,13067.210428615206,29456.0,30133.0,29457.0,30134.0,,,,,
2020/06/07,29794.76588842779,29794.818199657264,0.029781426826957613,0.022380785558198113,16889.285989424134,161.76031103837522,12905.479899003658,29458.0,30133.0,29457.0,30135.0,,,,,
2020/06/08,29794.791997931934,29794.83789446131,0.026109504142368678,0.019694804046594072,17049.044201004388,159.75821158025428,12745.747796927546,29458.0,30135.0,29458.0,30134.0,,,,,
2020/06/09,29794.814922358528,29794.855250405737,0.02292442659381777,0.01735594442652655,17206.825054929195,157.78085392480716,12587.989867429333,29457.975000000002,30134.0,29457.0,30133.0,,,,,
2020/06/10,29794.83507986659,29794.870566831138,0.020157508060947293,0.015316425400669686,17362.652992309642,155.8279373804471,12432.182087556946,29458.0,30133.0,29457.0,30134.0,,,,,
2020/06/11,29794.85283016578,29794.884102247535,0.01775029919008375,0.01353541639764444,17516.55215650231,153.89916419266592,12278.30067366347,29457.0,30134.0,29457.0,30133.0,,,,,
2020/06/12,29794.868483144084,29794.896080221766,0.015652978305297438,0.011977974230831023,17668.54639612685,151.9942396245424,12126.322087017234,29457.0,30134.0,29457.0,30134.0,,,,,
2020/06/13,29794.88230616237,29794.90669437368,0.013823018285620492,0.010614151913614478,17818.659268144256,150.1128720174056,11976.223038018114,29457.0,30134.0,29457.0,30133.0,,,,,
2020/06/14,29794.89453022649,29794.916112620875,0.012224064121255651,0.009418247194844298,17966.91404098023,148.25477283597502,11827.98048924626,29457.0,30134.0,29458.0,30133.0,,,,,
2020/06/15,29794.90535521622,29794.92448079181,0.010824989727552747,0.008368170936591923,18113.333697680246,146.41965670001446,11681.571657535973,29457.0,30134.0,29457.0,30133.0,,,,,
2020/06/16,29794.914954326203,29794.93192570347,0.009599109984264942,0.0074449116582400165,18257.940939085267,144.60724140502134,11536.974015240936,29457.0,30134.0,29457.0,30134.0,,,,,
2020/06/17,29794.92347783754,29794.938557788326,0.008523511336534284,0.006632084856391884,18400.75818701889,142.81724793362446,11394.165290818648,29457.0,30134.0,29458.0,30133.0,,,,,
2020/06/18,29794.93105633012,29794.944473338986,0.0075784925793414,0.005915550660574809,18541.807587478146,141.04940045925468,11253.123468851973,29457.0,30133.0,29457.0,30133.0,,,,,
2020/06/19,29794.937803421733,29794.9497564289,0.006747091614670353,0.005283089914883021,18681.11101382145,139.30342634330373,11113.826789600284,29458.0,30134.0,29457.0,30134.0,,,,,
2020/06/20,29794.943818102634,29794.95448055806,0.006014680900989333,0.004724129157693824,18818.690069948636,137.57905612718605,10976.253748153998,29457.0,30134.0,29457.0,30134.0,,,,,
2020/06/21,29794.949186736216,29794.958710065308,0.0053686335813836195,0.004229507248965092,18954.566093468147,135.87602351951136,10840.383093268068,29457.0,30134.0,29458.0,30134.0,,,,,
2020/06/22,29794.95398476775,29794.962501341488,0.004798031535756309,0.003791276179981651,19088.760158848097,134.1940653799502,10706.193825919654,29457.0,30133.0,29457.0,30134.0,,,,,
2020/06/23,29794.958278190286,29794.965903873184,0.004293422534829006,0.0034025316963379737,19221.293080547883,132.53292169978522,10573.665197642404,29458.0,30134.0,29457.0,30134.0,,,,,
2020/06/24,29794.962124804675,29794.968961141796,0.0038466143887490034,0.003057268611883046,19352.185416127795,130.89233557991247,10442.77670867688,29457.0,30134.0,29457.0,30134.0,,,,,
2020/06/25,29794.96557529873,29794.97171139897,0.0034504940558690578,0.002750257172010606,19481.45746933472,129.2720532069252,10313.50810596401,29457.0,30133.0,29458.0,30134.0,,,,,
2020/06/26,29794.968674179832,29794.97418833595,0.003098881101323059,0.0024769369811110664,19609.129293161866,127.671823827146,10185.839381017966,29457.0,30133.0,29458.0,30134.0,,,,,
2020/06/27,29794.971460577344,29794.976421663516,0.0027863975119544193,0.0022333275665005203,19735.220692881656,126.09139971978948,10059.750767695688,29457.0,30134.0,29457.0,30133.0,,,,,
2020/06/28,29794.97396893368,29794.978437612728,0.0025083563341468107,0.002015949212363921,19859.75122905002,124.53053616836405,9935.222739883659,29458.0,30134.0,29457.0,30134.0,,,,,
2020/06/29,29794.976229602857,29794.980259369324,0.002260669178212993,0.0018217565957456827,19982.74022048151,122.98899143149174,9812.236009121345,29457.0,30134.0,29457.0,30134.0,,,,,
2020/06/30,29794.978269367588,29794.981907451016,0.002039764731307514,0.0016480816921102814,20104.206747194516,121.46652671300399,9690.771522173072,29457.0,30134.0,29457.0,30135.0,,,,,
2020/07/01,29794.980111887468,29794.983400035035,0.0018425198795739561,0.0014925840187061112,20224.169653325895,119.96290613137899,9570.810458561573,29457.0,30134.0,29457.0,30134.0,,,,,
2020/07/02,29794.981778087113,29794.984753243025,0.0016661996451148298,0.001353207990177907,20342.647550014488,118.47789668859332,9452.334228072625,29457.0,30134.0,29457.0,30133.0,,,,,
2020/07/03,29794.983286492796,29794.985981388527,0.001508405683125602,0.0012281455019547138,20459.658818252785,117.0112682382969,9335.32446824001,29457.0,30133.0,29457.0,30133.0,,,,,
2020/07/04,29794.984653539424,29794.987097203524,0.0013670466287294403,0.0011158149973198306,20575.221611717327,115.56279346454176,9219.763041822098,29458.0,30134.0,29457.0,30133.0,,,,,
2020/07/05,29794.98589379328,29794.988112005143,0.0012402538559399545,0.0010148016190214548,20689.35385954003,114.13224782270481,9105.632034253249,29457.0,30134.0,29457.0,30133.0,,,,,
