Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/31,459.36168816298505,1233.5259994283535,57.89794164984539,141.30048272265708,44.45421523169783,4.0978756622221155,414.9074729312872,,,,
2020/04/01,523.1687675618946,1389.217231709143,63.807079398909536,155.69123228078956,49.14292960160333,4.688714369905497,474.02583796029126,,,,
2020/04/02,594.4227643087241,1559.8481108770557,71.25399674682956,170.63087916791255,54.49144491347205,5.348515311868724,539.9313193952521,,,,
2020/04/03,673.6994460965977,1745.7629141994144,79.2766817878736,185.9148033223587,60.574115317205994,6.0826704037339425,613.1253307793918,,,,
2020/04/04,761.5479310458301,1947.052843464366,87.84848494923233,201.28992926495175,67.4704381518967,6.896322834690707,694.0774928939334,,,,
2020/04/05,858.4719930991971,2163.511176569745,96.92406205336704,216.4583331053791,75.26462339083793,7.794185238941225,783.2073697083592,,,,
2020/04/06,964.9096704386405,2394.596238115113,106.43767733944344,231.0850615453678,84.04496163644534,8.78033824560741,880.8647088021952,,,,
2020/04/07,1081.2120823543414,2639.406867273792,116.30241191570087,244.81062915867915,93.90297916366642,9.85801752722108,987.309103190675,,,,
2020/04/08,1207.62258867803,2896.6745140929165,126.41050632368865,257.26764681912437,104.93238024136238,11.029401077695965,1102.6902084366677,,,,
2020/04/09,1344.2576759111869,3164.775457292929,136.6350872331568,268.10094320001235,117.22778955485445,12.295409313492073,1227.0298863563323,,,,
2020/04/10,1491.0910058956156,3441.7647719809747,146.8333299844287,276.98931468804585,130.8833219612353,13.655532406380857,1360.2076839343804,,,,
2020/04/11,1647.9420240747431,3725.4315976331814,156.85101817912755,283.6668256522066,145.9910228947266,15.107700933491287,1501.9510011800166,,,,
2020/04/12,1814.4702884713793,4013.372882952426,166.52826439663613,287.9412853192448,162.63923445663667,16.648211561910074,1651.8310540147427,,,,
2020/04/13,1990.1762870798807,4303.080439442187,175.70599860850143,289.70755648976046,180.91095304753105,18.27171859089438,1809.2653340323495,,,,
2020/04/14,2174.4090145837263,4592.034660218617,184.23272750384558,288.9542207764307,200.88224817583807,19.97129512830702,1973.5267664078883,,,,
2020/04/15,2366.3800175655697,4877.797279612353,191.9710029818434,285.7626193937358,222.62081235362086,21.73856417778279,2143.759205211949,,,,
2020/04/16,2565.183059917612,5158.095905730327,198.8030423520422,280.298626117974,246.18470355784342,23.563891204222557,2318.9983563597684,,,,
2020/04/17,2769.8181428501493,5430.894243305958,204.63508293253744,272.7983375756312,271.6213327967474,25.436629238904004,2498.196810053402,,,,
2020/04/18,2979.2183013542844,5694.443902980325,209.4001585041351,263.5496596743669,298.96672970255975,27.345396905812322,2680.2515716517246,,,,
2020/04/19,3192.2775128886187,5947.3159155544945,213.05921153433428,252.87201257416928,328.2451055200659,29.278375817506173,2864.032407368553,,,,
2020/04/20,3407.878111261412,6188.412286078532,215.60059837279323,241.0963705240374,359.468712098013,31.223606577947066,3048.409399163399,,,,
2020/04/21,3624.9163014270207,6416.959766611553,217.03819016560874,228.54748053302137,392.6379817224133,33.16926962440033,3232.2783197046074,,,,
