Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
2020/04/06,21437.392296215385,26096.645991289162,1413.2634256001002,1119.225285283781,4253.079260539899,446.74671346540254,17184.313035675485,21151.0,21725.0,25780.0,26413.0,,,,,
2020/04/07,22754.66594167344,27057.72480275871,1317.2736454580554,961.078811469546,4724.0914725816565,471.01221204175727,18030.574469091785,22459.0,23051.0,26735.0,27380.0,,,,,
2020/04/08,23960.822272993795,27866.951812946678,1206.156331320355,809.2270101879694,5215.982516363652,491.8910437819959,18744.839756630143,23658.0,24265.0,27540.0,28195.0,,,,,
2020/04/09,25047.02534220051,28536.54311240081,1086.2030692067165,669.5912994541322,5725.139598315249,509.1570819515964,19321.885743885265,24737.0,25357.0,28207.0,28868.0,,,,,
2020/04/10,26010.323061429248,29082.299281968746,963.2977192287362,545.756169567936,6247.891583785231,522.7519854699822,19762.431477644015,25694.0,26327.0,28749.0,29418.0,,,,,
2020/04/11,26852.774449566277,29521.51221607947,842.4513881370294,439.21293411072475,6780.654979398119,532.7633956128884,20072.11947016816,26533.0,27175.0,29185.0,29859.0,,,,,
2020/04/12,27580.325901263506,29871.340260948036,727.5514516972289,349.8280448685655,7320.0492501014605,539.3942707033411,20260.276651162047,27256.0,27907.0,29534.0,30210.0,,,,,
2020/04/13,28201.631017333326,30147.715352076957,621.3051160698196,276.37509112892076,7862.978320589348,542.9290704878877,20338.65269674398,27873.0,28532.0,29808.0,30489.0,,,,,
2020/04/14,28726.958901952865,30364.732608801427,525.327884619539,217.01725672446992,8406.679711612882,543.7013910235337,20320.279190339985,28396.0,29060.0,30023.0,30707.0,,,,,
2020/04/15,29167.277642252655,30534.415667160087,440.3187402997901,169.68305835865976,8948.745771580154,542.0660599672719,20218.5318706725,28833.0,29502.0,30193.0,30877.0,,,,,
2020/04/16,29533.547947538504,30666.738522042295,366.27030528584874,132.32285488220805,9487.122927260312,538.3771556801585,20046.42502027819,29197.0,29871.0,30324.0,31010.0,,,,,
2020/04/17,29836.22432922674,30769.7990041446,302.6763816882376,103.06048210230438,10020.095104025728,532.9721767654155,19816.129225201013,29499.0,30175.0,30426.0,31114.0,,,,,
2020/04/18,30084.93839222393,30850.064438284568,248.71406299718728,80.26543413996842,10546.256909776785,526.1618057510568,19538.681482447144,29746.0,30426.0,30506.0,31194.0,,,,,
2020/04/19,30288.328631679098,30912.63618166406,203.39023945516965,62.571743379492546,11064.481194568607,518.2242847918224,19223.84743711049,29948.0,30630.0,30569.0,31258.0,,,,,
2020/04/20,30453.979641539794,30961.50138639177,165.65100986069592,48.86520472771008,11573.884504493848,509.40330992524105,18880.095137045944,30111.0,30796.0,30617.0,31306.0,,,,,
2020/04/21,30588.43723244338,30999.75604812697,134.4575909035848,38.25466173519817,12073.792917505742,499.9084130118936,18514.644314937635,30246.0,30932.0,30655.0,31345.0,,,,,
2020/04/22,30697.271919934232,31029.793659408453,108.83468749085296,30.037611281484715,12563.709872695126,489.9169551893847,18133.562047239106,30354.975000000002,31041.0,30685.0,31376.0,,,,,
2020/04/23,30785.16966199864,31053.459728329344,87.8977420644078,23.66606892089112,13043.286923951558,479.57705125643224,17741.882738047083,30441.0,31129.0,30709.0,31399.0,,,,,
2020/04/24,30856.034627528396,31072.17549640698,70.86496552975586,18.715768077636312,13512.297845942685,469.01092199112645,17343.73678158571,30513.0,31202.0,30727.0,31418.0,,,,,
2020/04/25,30913.093692572587,31087.03539056293,57.05906504419181,14.859894155950315,13970.616174930972,458.31832898828725,16942.477517641615,30569.0,31258.0,30742.0,31434.0,,,,,
2020/04/26,30958.99616451827,31098.882890006123,45.90247194568292,11.847499443192646,14418.19604655649,447.5798716255176,16540.80011796178,30614.0,31305.0,30754.0,31445.0,,,,,
2020/04/27,30995.9050429755,31108.36910227306,36.90887845723046,9.48621226693649,14855.056063380624,436.8600168241337,16140.848979594877,30652.0,31341.0,30763.0,31454.0,,,,,
2020/04/28,31025.57807659742,31115.997734340042,29.673033621918876,7.628632066982391,15281.265862442253,426.2097990616294,15744.312214155167,30681.0,31372.0,30771.0,31462.0,,,,,
2020/04/29,31049.43816830578,31122.159493839474,23.860091708360414,6.161759499431355,15696.935034326849,415.6691718845959,15352.503133978931,30705.0,31395.0,30777.0,31468.0,,,,,
2020/04/30,31068.63348637438,31127.15835149672,19.19531806859959,4.998857657246845,16102.204054075093,405.2690197482443,14966.429432299286,30723.0,31415.0,30782.0,31474.0,,,,,
2020/05/01,31084.08809485405,31131.231574696107,15.454608479671151,4.0732231993861205,16497.236909380706,395.03285530561334,14586.851185473344,30739.0,31430.0,30786.0,31477.0,,,,,
2020/05/02,31096.54413655686,31134.565012895575,12.456041702807852,3.333438199468219,16882.215144597754,384.97823521704777,14214.328991959104,30752.0,31443.0,30789.0,31481.0,,,,,
2020/05/03,31106.596668198712,31137.304771933243,10.05253164185342,2.7397590376676817,17257.33307490689,375.11793030913395,13849.263593291824,30761.0,31452.0,30792.0,31484.0,,,,,
2020/05/04,31114.72221942732,31139.566144769997,8.125551228607947,2.2613728367541626,17622.793960268707,365.46088536181924,13491.928259158612,30769.0,31461.0,30794.0,31486.0,,,,,
2020/05/05,31121.302066537035,31141.440457895427,6.579847109715047,1.87431312543049,17978.80696161518,356.0130013464732,13142.495104921854,30775.0,31467.0,30796.0,31487.0,,,,,
2020/05/06,31126.641105050763,31143.00033294742,5.3390385137281555,1.5598750519930036,18325.584731182702,346.7777695675213,12801.056373868061,30781.0,31472.0,30798.0,31489.0,,,,,
2020/05/07,31130.983090645084,31144.30374175189,4.341985594321159,1.3034088044696546,18663.341514586285,337.75678340358354,12467.641576058799,30786.0,31477.0,30799.0,31491.0,,,,,
2020/05/08,31134.522905267826,31145.397140777615,3.5398146227416873,1.0933990257253754,18992.29166431259,328.9501497263045,12142.231240955236,30789.0,31481.0,30800.0,31493.0,,,,,
2020/05/09,31137.416401541122,31146.317901925406,2.8934962732964777,0.920761147790472,19312.64848279851,320.3568184859214,11824.767918742611,30792.0,31484.0,30801.0,31493.0,,,,,
2020/05/10,31139.788285651433,31147.09620383214,2.37188411031093,0.7783019067355781,19624.623328814076,311.97484601556425,11515.164956837358,30795.0,31486.0,30802.0,31493.0,,,,,
2020/05/11,31141.73841769117,31147.75650838611,1.950132039735763,0.6603045539704908,19928.424933671322,303.8016048572463,11213.313484019847,30797.0,31488.0,30803.0,31494.0,,,,,
2020/05/12,31143.34684003728,31148.318717446484,1.6084223461111833,0.5622090603719698,20224.25888421017,295.8339505388467,10919.087955827112,30797.0,31490.0,30803.0,31495.0,,,,,
2020/05/13,31144.67778612356,31148.799082269627,1.3309460862801643,0.480364823142736,20512.3272380597,288.0683538495323,10632.35054806386,30799.0,31491.0,30804.0,31496.0,,,,,
2020/05/14,31145.78287384467,31149.210920968497,1.1050877211091574,0.4118386988702696,20792.82824360073,280.50100554102755,10352.954630243941,30801.0,31492.0,30803.0,31495.0,,,,,
2020/05/15,31146.703648162817,31149.5651865448,0.9207743181468686,0.35426557630489697,21065.95614261089,273.12789901016004,10080.747505551928,30802.0,31493.0,30804.0,31495.0,,,,,
2020/05/16,31147.473604997576,31149.870918182995,0.769956834759796,0.30573163819281035,21331.90103806388,265.94489545299075,9815.572566933697,30802.0,31493.0,30805.0,31496.0,,,,,
2020/05/17,31148.11980228239,31150.13560105169,0.6461972848119331,0.26468286869567237,21590.848813125034,258.94777506115497,9557.270989157354,30803.0,31494.0,30804.0,31496.0,,,,,
2020/05/18,31148.664142599926,31150.365454143808,0.5443403175377171,0.22985309211799176,21842.981090271605,252.13227714657114,9305.68305232832,30803.0,31495.0,30805.0,31496.0,,,,,
2020/05/19,31149.1243948154,31150.56566133703,0.46025221547461115,0.2002071932220133,22088.47522173609,245.4941314644857,9060.64917307931,30804.0,31496.0,30805.0,31497.0,,,,,
2020/05/20,31149.515008297414,31150.740557495024,0.3906134820135776,0.1748961579942261,22327.504304300743,239.02908256465162,8822.010703996672,30804.0,31497.0,30806.0,31498.0,,,,,
2020/05/21,31149.84776235665,31150.893778856378,0.33275405923632206,0.15322136135364417,22560.23721291453,232.732908613787,8589.61054944212,30805.0,31497.0,30806.0,31497.0,,,,,
2020/05/22,31150.132284746418,31151.028384958296,0.28452238976751687,0.1346061019175977,22786.838648755456,226.60143584092657,8363.293635990962,30804.0,31497.0,30805.0,31498.0,,,,,
2020/05/23,31150.376466102425,31151.146957801808,0.24418135600717505,0.11857284351208364,23007.46919827138,220.63054951592494,8142.907267831044,30805.0,31497.0,30805.0,31498.0,,,,,
2020/05/24,31150.586791635036,31151.25168276137,0.21032553261102294,0.10472495956128114,23222.285400457655,214.81620218627359,7928.301391177381,30806.0,31497.0,30805.0,31498.0,,,,,
2020/05/25,31150.768606949812,31151.34441479721,0.1818153147760313,0.0927320358423458,23431.439820207896,209.15441975024078,7719.328786741917,30805.0,31497.0,30805.0,31498.0,,,,,
