Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/05/16,18446.43880311415,22463.99999999933,130.51007069328625,3.2741809263825417e-10,3689.114411783644,96.52458341352121,14757.324391330505,18180.0,18713.0,22171.0,22759.0,,,,
2020/05/17,18572.84265290421,22463.99999999972,126.40384979006194,3.892637323588133e-10,3785.847325768363,96.73291398471929,14786.995327135848,18306.0,18840.0,22171.0,22758.0,,,,
2020/05/18,18695.269486974077,22464.000000000713,122.42683406986544,9.931682143360376e-10,3882.760831494456,96.91350572609281,14812.508655479622,18428.0,18964.0,22171.0,22758.0,,,,
2020/05/19,18813.844427197277,22464.00000000206,118.57494022319952,1.3460521586239338e-09,3979.8282057654624,97.06737427100643,14834.016221431815,18545.0,19083.0,22170.0,22758.0,,,,
2020/05/20,18928.688663707293,22464.00000000264,114.84423651001634,5.820766091346741e-10,4077.023702249135,97.19549648367274,14851.664961458158,18659.0,19199.0,22170.0,22758.0,,,,
2020/05/21,19039.919575654712,22464.000000001073,111.23091194741937,-1.5679688658565283e-09,4174.322520596218,97.29881834708294,14865.597055058493,18770.0,19311.0,22170.0,22759.0,,,,
2020/05/22,19147.650854101073,22463.999999998658,107.7312784463611,-2.4156179279088974e-09,4271.7007750289695,97.37825443275142,14875.950079072103,18877.0,19419.0,22171.0,22759.0,,,,
2020/05/23,19251.992588524452,22463.999999997563,104.34173442337851,-1.0950316209346056e-09,4369.135472225714,97.43469719674431,14882.85711629874,18981.0,19524.0,22170.0,22758.0,,,,
2020/05/24,19353.05144333287,22463.999999999825,101.05885480841971,2.2628228180110455e-09,4466.604466209197,97.46899398348341,14886.446977123675,19081.0,19626.0,22171.0,22758.0,,,,
2020/05/25,19450.93070069144,22463.99999999957,97.87925735856697,-2.546585164964199e-10,4564.086447415115,97.48198120591769,14886.844253276324,19178.0,19725.0,22171.0,22758.0,,,,
2020/05/26,19545.73039938319,22463.999999999985,94.79969869174965,4.147295840084553e-10,4661.560907211912,97.47445979679742,14884.169492171277,19272.0,19820.0,22170.0,22758.0,,,,
2020/05/27,19637.547430875067,22463.999999999905,91.81703149187888,-8.003553375601768e-11,4759.008113368523,97.44720615661026,14878.539317506544,19363.0,19913.0,22171.0,22759.0,,,,
2020/05/28,19726.47563835168,22463.999999999993,88.92820747661244,8.731149137020111e-11,4856.409084767865,97.40097139934278,14870.066553583814,19452.0,20002.0,22172.0,22758.0,,,,
2020/05/29,19812.605912474013,22463.999999999975,86.1302741223335,-1.8189894035458565e-11,4953.745566962176,97.33648219431052,14858.860345511837,19537.0,20089.0,22171.0,22758.0,,,,
2020/05/30,19896.02628418878,22463.999999999996,83.42037171476841,2.1827872842550278e-11,5051.000008486599,97.25444152442287,14845.026275702183,19619.0,20173.0,22171.0,22758.0,,,,
2020/05/31,19976.82201894129,22464.000000000007,80.795734752508,1.0913936421275139e-11,5148.155536821009,97.15552833441052,14828.66648212028,19700.0,20254.0,22171.0,22758.0,,,,
2020/06/01,20055.07568455554,22463.99999999977,78.25366561425108,-2.3646862246096134e-10,5245.195941073828,97.04040425281892,14809.879743481713,19778.0,20333.0,22171.0,22758.0,,,,
2020/06/02,20130.86726536103,22463.999999999392,75.7915808054895,-3.7834979593753815e-10,5342.105642874408,96.90970180057957,14788.761622486621,19853.0,20410.0,22171.0,22758.0,,,,
2020/06/03,20204.274231555188,22463.99999999908,73.40696619415758,-3.128661774098873e-10,5438.869678689944,96.76403581553586,14765.404552865244,19926.0,20483.0,22170.0,22758.0,,,,
2020/06/04,20275.371607251367,22463.99999999931,71.09737569617937,2.2919266484677792e-10,5535.473682484369,96.60400379442581,14739.897924766998,19997.0,20555.0,22170.0,22758.0,,,,
2020/06/05,20344.232058007354,22463.999999999884,68.86045075598668,5.748006515204906e-10,5631.903863410579,96.43018092620969,14712.328194596776,20065.0,20624.0,22171.0,22758.0,,,,
2020/06/06,20410.92596380109,22464.00000000022,66.69390579373794,3.346940502524376e-10,5728.146987218776,96.2431238081972,14682.778976582314,20132.0,20691.0,22170.0,22758.0,,,,
2020/06/07,20475.521490768257,22463.99999999972,64.59552696716491,-4.984030965715647e-10,5824.190357987269,96.04337076849242,14651.331132780988,20195.0,20757.0,22171.0,22758.0,,,,
2020/06/08,20538.084658818236,22463.999999999134,62.56316804997914,-5.857145879417658e-10,5920.021800908961,95.83144292169254,14618.062857909274,20258.0,20820.0,22170.0,22759.0,,,,
2020/06/09,20598.679413348033,22463.999999999472,60.594754529796774,3.383320290595293e-10,6015.629644034977,95.60784312601572,14583.049769313056,20318.0,20880.0,22171.0,22758.0,,,,
2020/06/10,20657.367686093938,22463.999999999956,58.688272745905124,4.838511813431978e-10,6111.002702795473,95.37305876049595,14546.364983298465,20377.0,20939.0,22171.0,22758.0,,,,
2020/06/11,20714.209459538208,22463.999999999807,56.841773444270075,-1.4915713109076023e-10,6206.130263613286,95.12756081781299,14508.079195924922,20432.0,20997.0,22171.0,22758.0,,,,
2020/06/12,20769.262829675106,22463.999999999854,55.05337013689859,4.729372449219227e-11,6301.002067944519,94.87180433123285,14468.260761730588,20488.0,21052.0,22171.0,22758.0,,,,
2020/06/13,20822.58406455133,22464.000000000065,53.32123487622448,2.1100277081131935e-10,6395.608297397751,94.60622945323212,14426.97576715358,20541.0,21106.0,22170.0,22759.0,,,,
2020/06/14,20874.22766132088,22464.00000000001,51.64359676955064,-5.4569682106375694e-11,6489.939559235754,94.33126183800323,14384.288102085127,20592.0,21158.0,22171.0,22759.0,,,,
2020/06/15,20924.246404239508,22464.000000000022,50.01874291862623,1.0913936421275139e-11,6583.9868716438295,94.04731240807541,14340.259532595679,20640.0,21208.0,22170.0,22757.0,,,,
2020/06/16,20972.69141581266,22464.0,48.44501157315244,-2.1827872842550278e-11,6677.741650742286,93.75477909845631,14294.949765070374,20688.0,21257.0,22170.0,22758.025000000023,,,,
2020/06/17,21019.612213883025,22464.000000000004,46.92079807036498,3.637978807091713e-12,6771.195696096243,93.45404535395755,14248.416517786782,20736.0,21305.0,22171.0,22758.0,,,,
2020/06/18,21065.05675112926,22464.00000000011,45.444537246235996,1.0550138540565968e-10,6864.341180692642,93.145484596399,14200.71557043662,20781.0,21350.0,22171.0,22758.0,,,,
