Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up
0.0,1.4901161193847656e-08,29.125336170262017,1.4901161193847656e-08,2020/05/07,50006.54799981565,50006.54799977007,48590.58273083137,0.0,50006.54799977007,,,,,,49569.0,50446.0,49569.0,50445.0
0.0,1.1750671546906233e-08,28.478417776001148,1.1750671546906233e-08,2020/05/08,50006.54799981565,50006.54799978182,48619.061148607376,0.0,50006.54799978182,,,,,,49568.0,50446.0,49569.0,50445.0
0.0,6.024492904543877e-09,27.880849390727235,6.024492904543877e-09,2020/05/09,50006.54799981565,50006.54799978784,48646.941997998096,0.0,50006.54799978784,,,,,,49569.0,50445.0,49568.0,50445.0
0.0,1.9572325982153416e-09,27.328866548356014,1.9572325982153416e-09,2020/05/10,50006.54799981565,50006.5479997898,48674.270864546444,0.0,50006.5479997898,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,1.2660166248679161e-09,26.81899198487372,1.2660166248679161e-09,2020/05/11,50006.54799981565,50006.547999791066,48701.089856531325,0.0,50006.547999791066,,,,,,49569.0,50445.0,49568.0,50446.0
0.0,4.73664840683341e-09,26.3480134542624,4.73664840683341e-09,2020/05/12,50006.54799981565,50006.5479997958,48727.43786998559,0.0,50006.5479997958,,,,,,49569.0,50446.0,49569.0,50445.0
0.0,2.5029294192790985e-09,25.912963912494888,2.5029294192790985e-09,2020/05/13,50006.54799981565,50006.547999798306,48753.35083389808,0.0,50006.547999798306,,,,,,49570.0,50445.0,49569.0,50445.0
0.0,-2.029992174357176e-09,25.51110258205153,-2.029992174357176e-09,2020/05/14,50006.54799981565,50006.547999796276,48778.86193648013,0.0,50006.547999796276,,,,,,49568.0,50444.0,49569.0,50445.0
0.0,-2.2264430299401283e-09,25.13989740073885,-2.2264430299401283e-09,2020/05/15,50006.54799981565,50006.54799979405,48804.001833880866,0.0,50006.54799979405,,,,,,49568.0,50445.0,49569.0,50444.0
0.0,3.2669049687683582e-09,24.797011036142074,3.2669049687683582e-09,2020/05/16,50006.54799981565,50006.547999797316,48828.798844917015,0.0,50006.547999797316,,,,,,49568.0,50446.0,49569.0,50445.0
0.0,4.743924364447594e-09,24.480281934098453,4.743924364447594e-09,2020/05/17,50006.54799981565,50006.54799980206,48853.27912685112,0.0,50006.54799980206,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,-3.5433913581073284e-09,24.18771463785379,-3.5433913581073284e-09,2020/05/18,50006.54799981565,50006.54799979852,48877.46684148897,0.0,50006.54799979852,,,,,,49568.975000000006,50446.0,49569.0,50447.0
0.0,-4.7584762796759605e-09,23.917466436687388,-4.7584762796759605e-09,2020/05/19,50006.54799981565,50006.54799979376,48901.384307925655,0.0,50006.54799979376,,,,,,49569.0,50446.0,49568.0,50445.0
0.0,1.4770193956792355e-09,23.667834864165343,1.4770193956792355e-09,2020/05/20,50006.54799981565,50006.547999795235,48925.05214278981,0.0,50006.547999795235,,,,,,49569.0,50446.0,49569.0,50445.0
0.0,9.080395102500916e-09,23.437246964451326,9.080395102500916e-09,2020/05/21,50006.54799981565,50006.547999804316,48948.489389754264,0.0,50006.547999804316,,,,,,49569.0,50446.0,49568.0,50445.0
0.0,-3.1868694350123405e-09,23.224250046914676,-3.1868694350123405e-09,2020/05/22,50006.54799981565,50006.54799980113,48971.71363980119,0.0,50006.54799980113,,,,,,49568.0,50445.0,49570.0,50445.0
0.0,-2.117303665727377e-09,23.027502169563373,-2.117303665727377e-09,2020/05/23,50006.54799981565,50006.54799979901,48994.74114197075,0.0,50006.54799979901,,,,,,49569.0,50445.0,49569.0,50445.0
0.0,3.65253072232008e-09,22.845763835000984,3.65253072232008e-09,2020/05/24,50006.54799981565,50006.547999802664,49017.58690580575,0.0,50006.547999802664,,,,,,49569.0,50447.0,49568.0,50445.0
0.0,-3.5797711461782455e-09,22.6778897602926,-3.5797711461782455e-09,2020/05/25,50006.54799981565,50006.547999799084,49040.264795566036,0.0,50006.547999799084,,,,,,49568.0,50445.0,49569.0,50445.0
0.0,-2.561137080192566e-09,22.52282257202023,-2.561137080192566e-09,2020/05/26,50006.54799981565,50006.54799979652,49062.78761813806,0.0,50006.54799979652,,,,,,49568.0,50446.0,49569.0,50444.0
0.0,4.46016201749444e-09,22.379585221176967,4.46016201749444e-09,2020/05/27,50006.54799981565,50006.54799980098,49085.16720335924,0.0,50006.54799980098,,,,,,49569.0,50446.0,49569.0,50445.0
0.0,-2.3646862246096134e-09,22.24727515167615,-2.3646862246096134e-09,2020/05/28,50006.54799981565,50006.54799979862,49107.41447851092,0.0,50006.54799979862,,,,,,49569.0,50444.0,49568.0,50445.0
0.0,-2.8303475119173527e-09,22.125058871984947,-2.8303475119173527e-09,2020/05/29,50006.54799981565,50006.54799979579,49129.5395373829,0.0,50006.54799979579,,,,,,49569.0,50444.0,49569.0,50446.0
0.0,2.240994945168495e-09,22.012166346314192,2.240994945168495e-09,2020/05/30,50006.54799981565,50006.54799979803,49151.551703729216,0.0,50006.54799979803,,,,,,49569.0,50446.0,49568.0,50445.0
0.0,-9.094947017729282e-10,21.907886233108,-9.094947017729282e-10,2020/05/31,50006.54799981565,50006.54799979712,49173.459589962324,0.0,50006.54799979712,,,,,,49569.0,50444.0,49568.0,50445.0
