Confirm_interval_down,Confirm_interval_up,Dailynew_confirm,Dailynew_remove,Date,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
673938.0,677161.0,16604.405004702858,7335.0892401808815,2020/04/06,675549.3089797425,535190.646215092,140358.66276465042,,,,,
689372.0,692629.0,15449.558604896301,7281.492908187152,2020/04/07,690998.8675846388,543358.7119118012,147640.15567283757,,,,,
703685.0,706983.0,14334.478429502458,7217.802114762017,2020/04/08,705333.3460141412,550475.3882265417,154857.9577875996,,,,,
716940.0,720259.0,13264.528485352406,7145.712539537548,2020/04/09,718597.8744994936,556594.2041723565,162003.67032713714,,,,,
729172.0,732522.0,12247.973171312711,7066.563441956125,2020/04/10,730845.8476708063,561775.613901713,169070.23376909326,,,,,
740445.0,743829.0,11293.244591348339,6981.44594091078,2020/04/11,742139.0922621547,566087.4125521507,176051.67971000404,,,,,
750846.0,754248.0,10406.988177419524,6891.2813906615775,2020/04/12,752546.0804395742,569603.1193389086,182942.96110066562,,,,,
760431.0,763851.0,9593.057495869114,6796.873753355263,2020/04/13,762139.1379354433,572399.3030814225,189739.83485402088,,,,,
769270.0,772712.0,8852.326683350257,6698.942354271392,2020/04/14,770991.4646187936,574552.6874105013,196438.77720829227,,,,,
777449.0,780909.0,8183.049099605065,6598.1411895732745,2020/04/15,779174.5137183986,576137.595320533,203036.91839786555,,,,,
785017.0,788491.0,7581.486992915976,6495.0698287110135,2020/04/16,786756.0007113146,577224.012484738,209531.98822657656,,,,,
792059.0,795544.0,7042.596883615479,6390.279526171653,2020/04/17,793798.5975949301,577876.3298421819,215922.26775274822,,,,,
798606.0,802108.0,6560.639310297789,6284.276694951608,2020/04/18,800359.2369052279,578152.6924575281,222206.54444769982,,,,,
804729.0,808248.0,6129.653274804819,6177.5250501844275,2020/04/19,806488.8901800327,578104.8206821484,228384.06949788425,,,,,
810467.0,814000.0,5743.787152361707,6070.4469222000625,2020/04/20,812232.6773323944,577778.1609123101,234454.5164200843,,,,,
815856.0,819405.0,5397.509256345336,5963.42447222647,2020/04/21,817630.1865887397,577212.2456964289,240417.94089231078,,,,,
820942.0,824496.0,5085.995118262945,5856.800492935465,2020/04/22,822716.1817070027,576441.4403217564,246274.74138524625,,,,,
825743.0,829304.0,4804.922055728501,5750.87936374222,2020/04/23,827521.1037627312,575495.4830137427,252025.62074898847,,,,,
830282.0,833856.0,4550.027405696688,5645.928020107269,2020/04/24,832071.1311684279,574399.5823993322,257671.54876909574,,,,,
834597.0,838180.0,4317.48386201309,5542.177095078805,2020/04/25,836388.615030441,573174.8891662664,263213.72586417454,,,,,
838693.0,842288.0,4103.908599345246,5439.822417450603,2020/04/26,840492.5236297862,571838.9753481611,268653.54828162515,,,,,
842597.0,846201.0,3906.3429444083013,5339.026825739536,2020/04/27,844398.8665741945,570406.2914668298,273992.5751073647,,,,,
846316.0,849925.0,3722.2348877268378,5239.922361780249,2020/04/28,848121.1014619214,568888.6039927765,279232.49746914493,,,,,
849861.0,853479.0,3549.42332144815,5142.61280275078,2020/04/29,851670.5247833695,567295.4145114738,284375.1102718957,,,,,
853243.0,856873.0,3386.1211891272105,5047.176489616162,2020/04/30,855056.6459724967,565634.3592109848,289422.2867615119,,,,,
856469.0,860100.0,3230.8945702282945,4953.669339653861,2020/05/01,858287.540542725,563911.5844415593,294375.95610116574,,,,,
859557.0,863187.0,3082.636013793759,4862.127956453594,2020/05/02,861370.1765565188,562132.0924988994,299238.08405761933,,,,,
862486.0,866136.0,2940.5302605892066,4772.572633234144,2020/05/03,864310.706817108,560300.0501262546,304010.6566908535,,,,,
865291.0,868942.0,2804.013687485829,4685.010246505088,2020/05/04,867114.7205045938,558419.0535672352,308695.66693735856,,,,,
867964.0,871615.0,2672.728833990521,4599.436868113407,2020/05/05,869787.4493385843,556492.3455331123,313295.10380547197,,,,,
870509.0,874168.0,2546.477013040334,4515.8400205915095,2020/05/06,872333.9263516247,554522.9825255612,317810.9438260635,,,,,
872928.0,876591.0,2425.1718289682176,4434.200600260054,2020/05/07,874759.0981805929,552513.9537542693,322245.14442632353,,,,,
875231.0,878904.0,2308.7962500719586,4354.494413703505,2020/05/08,877067.8944306648,550468.2555906378,326599.63884002704,,,,,
877429.0,881107.0,2197.366006910801,4276.693346841959,2020/05/09,879265.2604375756,548388.9282507066,330876.332186869,,,,,
879521.0,883196.0,2090.90008434013,4200.7662718356005,2020/05/10,881356.1605219158,546279.0620632111,335077.0984587046,,,,,
881504.0,885187.0,1989.3992098743329,4126.679674966203,2020/05/11,883345.5597317901,544141.7815981193,339203.7781336708,,,,,
883394.0,887083.0,1892.8319779315498,4054.398094127013,2020/05/12,885238.3917097216,541980.2154819239,343258.1762277978,,,,,
885191.0,888885.0,1801.1277569149388,3983.8844407885335,2020/05/13,887039.5194666366,539797.4587980502,347242.06066858635,,,,,
886909.0,890606.0,1714.1749692248413,3915.100224399881,2020/05/14,888753.6944358614,537596.5335428752,351157.1608929862,,,,,
888540.0,892233.0,1631.8238702723756,3848.0057328792172,2020/05/15,890385.5183061338,535380.3516802683,355005.16662586544,,,,,
890087.0,893796.0,1553.8919032691047,3782.5602009237627,2020/05/16,891939.4102094029,533151.6833826137,358787.7268267892,,,,,
891572.0,895272.0,1480.170672345208,3718.7219698859844,2020/05/17,893419.5808817481,530913.1320850729,362506.4487966752,,,,,
892978.0,896681.0,1410.438402884407,3656.448682377406,2020/05/18,894830.0192846325,528667.1218055799,366162.8974790526,,,,,
894324.0,898035.0,1344.5584838793147,3595.6977442502393,2020/05/19,896174.5777685118,526415.982545209,369758.59522330284,,,,,
895605.0,899313.0,1282.3748452638974,3536.4270547872875,2020/05/20,897456.9526137757,524161.9303356856,373295.0222780901,,,,,
896819.0,900539.0,1223.635956541868,3478.5946089521167,2020/05/21,898680.5885703176,521906.97168327536,376773.61688704224,,,,,
897988.0,901708.0,1168.0954607810127,3422.158373979968,2020/05/22,899848.6840310986,519652.9087700764,380195.7752610222,,,,,
899106.0,902821.0,1115.5193061832106,3367.0765686208033,2020/05/23,900964.2033372818,517401.3515076388,383562.851829643,,,,,
900169.0,903896.0,1065.6884590176633,3313.3078643025365,2020/05/24,902029.8917962995,515153.73210235394,386876.15969394555,,,,,
901181.0,904910.0,1018.4001441310393,3260.8116006278433,2020/05/25,903048.2919404305,512911.32064585714,390136.9712945734,,,,,
902159.0,905889.0,973.4688288293546,3209.5479131149477,2020/05/26,904021.7607692599,510675.24156157154,393346.51920768834,,,,,
903088.0,906817.0,930.7257810705341,3159.4779630575795,2020/05/27,904952.4865503304,508446.4893795845,396505.9971707459,,,,,
903977.0,907702.0,890.0188366639195,3110.5640190749546,2020/05/28,905842.5053869943,506225.94419717346,399616.5611898209,,,,,
904824.0,908564.0,851.2114783169236,3062.7695629362133,2020/05/29,906693.7168653113,504014.3861125542,402679.3307527571,,,,,
905643.0,909377.0,814.181630067178,3016.0593825008837,2020/05/30,907507.8984953784,501812.50836012047,405695.39013525797,,,,,
906418.0,910156.0,778.8203863544622,2970.399618049152,2020/05/31,908286.7188817329,499620.9291284258,408665.7897533071,,,,,
