Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,ADate,Official_confirmed,Official_dailynew,Official_cure,Official_remove
2020/04/01,3749.697120480528,9147.100304095084,385.697760454771,688.9489198449337,64.22988324785052,8.563694587911051,3685.4672372326777,,,,,
2020/04/02,4157.167557441724,9842.92951944664,407.4704369611959,695.8292153515558,73.74337090614311,9.51348765829259,4083.424186535581,,,,,
2020/04/03,4585.152058143233,10539.972613730479,427.9845007015092,697.0430942838393,84.25613451350519,10.512763607362075,4500.895923629728,,,,,
2020/04/04,5032.081141258406,11232.637497002961,446.92908311517294,692.6648832724823,95.81406943013052,11.557934916625328,4936.267071828276,,,,,
2020/04/05,5496.108568236023,11915.594127996463,464.0274269776164,682.9566309935017,108.45877123385873,12.64470180372821,5387.649797002164,,,,,
2020/04/06,5975.155621247686,12583.93981864783,479.0470530116636,668.3456906513675,122.22692086687503,13.768149633016307,5852.928700380811,,,,,
2020/04/07,6466.962881884185,13233.331423650881,491.80726063649854,649.3916050030512,137.14979062098763,14.922869754112597,6329.813091263197,,,,,
2020/04/08,6969.146201552234,13860.078643269886,502.1833196680491,626.7472196190047,153.2528824207304,16.10309179974277,6815.893319131504,,,,,
2020/04/09,7479.253960714859,14461.19583643609,510.10775916262537,601.1171931662047,170.55570716255312,17.302824741822718,7308.698253552306,,,,,
2020/04/10,7994.822445443838,15034.414640536867,515.5684847289785,573.2188041007757,189.0717026495767,18.515995487023588,7805.750742794261,,,,,
2020/04/11,8513.42697572626,15578.162209064794,518.6045302824214,543.7475685279278,208.80828261563462,19.736579966057917,8304.618693110624,,,,,
2020/04/12,9032.726779686089,16091.512318937108,519.2998039598297,513.3501098723136,229.76700332184808,20.958720706213455,8802.959776364241,,,,,
2020/04/13,9550.502531190075,16574.117030458674,517.7757515039866,482.60471152156606,251.94383069770967,22.176827375861592,9298.558700492365,,,,,
2020/04/14,10064.685903267018,17026.12673120846,514.1833720769428,452.00970074978613,275.32948908125536,23.38565838354569,9789.356414185762,,,,,
2020/04/15,10573.381157888229,17448.105426053626,508.69525462121055,421.9786948451656,299.90987153436214,24.58038245310678,10273.471286353866,,,,,
2020/04/16,11074.879200353502,17840.946844496517,501.4980424652731,392.84141844289115,325.66649276121814,25.756621226855998,10749.212707592284,,,,,
2020/04/17,11567.66485128905,18205.79556920634,492.7856509355479,364.8487247098237,352.5769667483771,26.91047398715898,11215.087884540673,,,,,
2020/04/18,12050.418284240077,18543.97591170412,482.7534329510272,338.18034249778066,380.6154936400207,28.038526891643585,11669.802790600057,,,,,
2020/04/19,12522.011627884505,18856.930027083137,471.5933436444284,312.954115379016,409.75334307218935,29.13784943216865,12112.258284812317,,,,,
2020/04/20,12981.501799413967,19146.165874155784,459.4901715294618,289.2358470726467,439.95932279870317,30.205979726513817,12541.542476615265,,,,,
2020/04/21,13428.120492908154,19413.214757544214,446.618693494187,267.0488833884301,471.20022521902126,31.240902420318093,12956.920267689133,,,,,
2020/04/22,13861.26219314249,19659.597803295404,433.1417002343351,246.38304575119037,503.4412456571317,32.24102043811041,13357.820947485357,,,,,
2020/04/23,14280.470955233657,19886.80039840725,419.20876209116796,227.20259511184486,536.6463686798697,33.205123022738064,13743.824586553787,,,,,
