Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/04/11,2346.709538565192,22719.99759540057,111.46291170695395,0.007028794992947951,708.7346370320944,54.315914472549366,1637.9749015330976,,,,
2020/04/12,2457.5659722541977,22719.999415474867,110.85643368900583,0.0018200742961198557,764.936658755995,56.20202172390066,1692.6293134982027,,,,
2020/04/13,2567.819212229061,22719.99986421436,110.25323997486339,0.00044873949082102627,822.9421342869658,58.005475530970784,1744.8770779420952,,,,
2020/04/14,2677.4725365735612,22719.99996979501,109.6533243445001,0.0001055806533258874,882.6712616793053,59.72912739233948,1794.801274894256,,,,
2020/04/15,2786.529208591643,22719.999993554233,109.05667201808183,2.3759221221553162e-05,944.046995488898,61.3757338095927,1842.482213102745,,,,
2020/04/16,2894.9924745927365,22719.999998679006,108.46326600109342,5.124773451825604e-06,1006.9949547648453,62.947959275947255,1887.9975198278912,,,,
2020/04/17,3002.86556339714,22719.99999973786,107.87308880440332,1.0588555596768856e-06,1071.443334902547,64.44838013770163,1931.422228494593,,,,
2020/04/18,3110.151686287374,22719.99999995086,107.28612289023431,2.129963831976056e-07,1137.3228220210299,65.87948711848298,1972.8288642663442,,,,
2020/04/19,3216.854037119885,22719.999999991247,106.702350832511,4.03888407163322e-08,1204.5665032299855,67.24368120895565,2012.2875338898996,,,,
2020/04/20,3322.9757923596235,22719.99999999888,106.12175523973838,7.632479537278414e-09,1273.1097934368886,68.54329020690307,2049.865998922735,,,,
2020/04/21,3428.5201112326604,22719.99999999883,105.5443188730369,-5.093170329928398e-11,1342.8903504034267,69.78055696653814,2085.6297608292334,,,,
2020/04/22,3533.490135619424,22719.99999999145,104.97002438676373,-7.377821020781994e-09,1413.8480252049474,70.95767480152062,2119.6421104144765,,,,
2020/04/23,3637.8889904542048,22720.00000000011,104.39885483478065,8.658389560878277e-09,1485.9247490111286,72.07672380618123,2151.9642414430764,,,,
2020/04/24,3741.719783594931,22720.000000002157,103.8307931407262,2.0481820683926344e-09,1559.064492985972,73.13974397484344,2182.655290608959,,,,
2020/04/25,3844.9856060321304,22720.000000000422,103.2658224371994,-1.735315890982747e-09,1633.2131842963636,74.14869131039154,2211.772421735767,,,,
2020/04/26,3947.689531928144,22720.00000000005,102.70392589601352,-3.710738383233547e-10,1708.3186479348979,75.10546363853427,2239.370883993246,,,,
2020/04/27,4049.8346187431407,22719.999999999593,102.14508681499683,-4.5838532969355583e-10,1784.3305392956818,76.01189136078392,2265.504079447459,,,,
2020/04/28,4151.423907209746,22720.000000000728,101.58928846660547,1.1350493878126144e-09,1861.200295574256,76.86975627857419,2290.22361163549,,,,
2020/04/29,4252.460421594043,22719.999999999432,101.03651438429642,-1.2951204553246498e-09,1938.8810572253199,77.6807616510639,2313.579364368723,,,,
2020/04/30,4352.947169670937,22719.999999999894,100.4867480768944,4.6202330850064754e-10,2017.327623554444,78.44656632912415,2335.619546116493,,,,
2020/05/01,4452.887142878413,22720.0,99.93997320747621,1.0550138540565968e-10,2096.496389963285,79.16876640884084,2356.3907529151284,,,,
2020/05/02,4552.283316312519,22720.000000000167,99.39617343410555,1.673470251262188e-10,2176.345303097977,79.84891313469234,2375.9380132145416,,,,
2020/05/03,4651.138649111666,22720.000000001324,98.85533279914762,1.1568772606551647e-09,2256.8337833971505,80.48848029917326,2394.304865714516,,,,
2020/05/04,4749.4560839866845,22720.000000003878,98.31743487501808,2.5538611225783825e-09,2337.9227261475407,81.08894275039029,2411.5333578391437,,,,
2020/05/05,4847.238547749878,22720.000000006345,97.78246376319385,2.4665496312081814e-09,2419.5744104178266,81.65168427028584,2427.6641373320517,,,,
2020/05/06,4944.488951745341,22720.000000004682,97.25040399546288,-1.6625563148409128e-09,2501.752425398493,82.17801498066638,2442.736526346848,,,,
2020/05/07,5041.210189917414,22719.999999994398,96.72123817207284,-1.0284566087648273e-08,2584.421792284604,82.66936688611122,2456.78839763281,,,,
2020/05/08,5137.40514271073,22719.999999999112,96.19495279331568,4.71482053399086e-09,2667.5486086812607,83.12681639665652,2469.856534029469,,,,
2020/05/09,5233.076673425301,22719.99999999989,95.67153071457142,7.785274647176266e-10,2751.1003072021736,83.55169852091285,2481.9763662231276,,,,
2020/05/10,5328.2276301343,22720.0,95.15095670899882,1.0913936421275139e-10,2835.045469396026,83.94516219385241,2493.182160738274,,,,
2020/05/11,5422.86084536939,22720.00000000007,94.63321523508966,6.912159733474255e-11,2919.3538159812483,84.30834658522235,2503.5070293881413,,,,
2020/05/12,5516.979136477001,22719.999999999454,94.11829110761118,-6.148184183984995e-10,3003.9961509214518,84.64233494020345,2512.982985555549,,,,
2020/05/13,5610.585305160801,22719.999999995125,93.6061686838002,-4.329194780439138e-09,3088.944362673304,84.94821175185234,2521.640942487497,,,,
