Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove,Official_cure
2020/03/30,19598.184437916243,30813.099899319233,2274.9457769861438,2631.913564388633,661.3396047702466,24.27697587317607,18936.844833145995,19325.0,19873.0,30469.0,31158.0,,,,,
2020/03/31,21920.773124528125,33238.88793795102,2322.5886866118817,2425.7880386317847,688.7215504500048,27.381945679758132,21232.05157407812,21631.0,22211.0,32881.0,33596.0,,,,,
2020/04/01,24237.790374447624,35399.58664494963,2317.0172499194996,2160.6987069986135,719.233023515455,30.511473065450218,23518.55735093217,23933.0,24543.0,35031.0,35770.0,,,,,
2020/04/02,26497.26692012768,37260.79310868165,2259.476545680056,1861.2064637320218,752.8263443421304,33.59332082667538,25744.44057578555,26179.0,26817.0,36883.0,37639.0,,,,,
2020/04/03,28652.95770665032,38813.40661079924,2155.6907865226385,1552.613502117587,789.386531423939,36.560187081808635,27863.57117522638,28321.0,28985.0,38428.0,39200.0,,,,,
2020/04/04,30667.70832107352,40070.20787561786,2014.750614423203,1256.8012648186195,828.7416456300434,39.35511420610442,29838.96667544348,30324.0,31012.0,39679.0,40463.0,,,,,
2020/04/05,32515.277503987374,41059.803703185346,1847.5691829138523,989.5958275674857,870.6766805736488,41.93503494360539,31644.600823413726,32162.0,32869.0,40663.0,41457.0,,,,,
2020/04/06,34180.59183428275,41819.78890442893,1665.3143302953758,759.9852012435877,914.9488303606273,44.2721497869785,33265.64300392212,33818.0,34544.0,41420.0,42221.0,,,,,
2020/04/07,35658.73311957495,42390.63979354889,1478.1412852922003,570.8508891199599,961.3021729588595,46.35334259823219,34697.43094661609,35288.0,36030.0,41988.0,42794.0,,,,,
2020/04/08,36953.12268072707,42811.18581100956,1294.389561152122,420.54601746067056,1009.4803507091099,48.17817775025037,35943.64233001796,36577.0,37330.0,42406.0,43217.0,,,,,
2020/04/09,38073.37274474022,43115.85312828553,1120.2500640131475,304.66731727596925,1059.236483484369,49.756132775259175,37014.13626125585,37692.0,38457.0,42710.0,43524.0,,,,,
2020/04/10,39033.17759603218,43333.43540082885,959.8048512919631,217.58227254331723,1110.3401331596915,51.10364967532246,37922.83746287249,38646.0,39421.0,42926.0,43742.0,,,,,
