Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/04/06,6295.905530361655,12026.126562096742,897.8285897998348,1394.9729860552561,339.347040386093,56.42327377066374,5956.558489975562,,,,
2020/04/07,7269.535079421103,13423.93801473549,973.6295490594475,1397.8114526387471,404.70747246576155,65.36043207966856,6864.827606955341,,,,
2020/04/08,8304.622801658223,14781.584043376175,1035.08772223712,1357.6460286406855,479.61489213930406,74.9074196735425,7825.0079095189185,,,,
2020/04/09,9382.594103885587,16058.092857543448,1077.9713022273645,1276.5088141672732,564.5049490081694,84.89005686886537,8818.089154877418,,,,
2020/04/10,10481.964984222248,17219.28242282994,1099.3708803366608,1161.1895652864914,659.6041693646064,95.09922035643694,9822.360814857642,,,,
2020/04/11,11580.106109759188,18241.363666296467,1098.1411255369403,1022.0812434665277,764.911256619777,105.30708725517059,10815.194853139412,,,,
2020/04/12,12655.141203154111,19112.61202833388,1075.035093394923,871.2483620374114,880.1974605707935,115.28620395101655,11774.943742583318,,,,
2020/04/13,13687.64544405536,19832.92564180392,1032.5042409012494,720.3136134700399,1005.0254649870627,124.82800441626921,12682.619979068299,,,,
2020/04/14,14661.88094839776,20411.686238206876,974.2355043423995,578.7605964029572,1138.7831422191998,133.7576772321371,13523.09780617856,,,,
2020/04/15,15566.440801194509,20864.700640207942,904.5598527967486,453.0144020010666,1280.7265456448683,141.94340342566852,14285.714255549641,,,,
2020/04/16,16394.3167537477,21211.037091110516,827.8759525531896,346.33645090257414,1430.0260057751548,149.29946013028643,14964.290747972544,,,,
2020/04/17,17142.51183264383,21470.356523543986,748.195078896133,259.31943243346905,1585.8100015996204,155.7839958244656,15556.70183104421,,,,
2020/04/18,17811.367796782095,21661.030327609347,668.8559641382635,190.67380406536176,1747.2030540616001,161.39305246197978,16064.164742720495,,,,
2020/04/19,18403.773617611187,21799.06488984284,592.4058208290917,138.0345622334935,1913.3556736913126,166.1526196297125,16490.417943919874,,,,
